_id,flags,type,text,img,resultId,weight,range,drawn
0,IPvCBTWvYOVgfth3,{},0,<h2>SHIPWRECK</h2> <p><b>Shipwreck Contents</b></p> <p>1 sahuagin priestess and [[2d10]] sahuagin</p>,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,TLRVhjiV5OVhQbeH,{},0,"<h2>SHIPWRECK</h2> <p><b>Shipwreck Contents</b></p> <p>DRAGON</p> <p>AGE</p> <p>[[1d3]] (Young, Adult, Ancient)</p> <p>TYPE</p> <p>[[1d2]] (Bronze, Blue)</p>",icons/svg/d20-black.svg,,1,"[2, 2]",False
2,32eb3uofnT9Wuk43,{},0,<h2>SHIPWRECK</h2> <p><b>Shipwreck Contents</b></p> <p>[[4d10]] giant crabs</p>,icons/svg/d20-black.svg,,1,"[3, 3]",False
3,5JtUbOn4Ag9maegp,{},0,<h2>SHIPWRECK</h2> <p><b>Shipwreck Contents</b></p> <p>[[3d10]] giant seahorses</p>,icons/svg/d20-black.svg,,1,"[4, 4]",False
4,6GWE0ukmFHgaxs6u,{},0,<h2>SHIPWRECK</h2> <p><b>Shipwreck Contents</b></p> <p>[[1d4]] hunter sharks</p>,icons/svg/d20-black.svg,,1,"[5, 5]",False
5,2ZNpKfphVIUvSZim,{},0,<h2>SHIPWRECK</h2> <p><b>Shipwreck Contents</b></p> <p>1 giant octopus</p>,icons/svg/d20-black.svg,,1,"[6, 6]",False
6,O8lhLgCJwUA03Ggz,{},0,<h2>SHIPWRECK</h2> <p><b>Shipwreck Contents</b></p> <p>[[2d6]] merrow</p>,icons/svg/d20-black.svg,,1,"[7, 7]",False
7,Wqc3cFTMbl36t3pH,{},0,<h2>SHIPWRECK</h2> <p><b>Shipwreck Contents</b></p> <p>[[2d10]] merfolk</p>,icons/svg/d20-black.svg,,1,"[8, 8]",False
8,2iwyMdSifPtM4ayK,{},0,"<h2>SHIPWRECK</h2> <p><b>Shipwreck Contents</b></p> <p>[[1d6]] items from Magic Item Table B in chapter 7, ""Treasure,"" of the Dungeon Master's Guide</p>",icons/svg/d20-black.svg,,1,"[9, 9]",False
9,nXlG3yh5yemqy1mf,{},0,"<h2>SHIPWRECK</h2> <p><b>Shipwreck Contents</b></p> <p>Treasure rolled on the Treasure Hoard: Challenge 5–10 table in chapter 7, ""Treasure,"" of the Dungeon Master's Guide</p>",icons/svg/d20-black.svg,,1,"[10, 10]",False
