_id,flags,type,text,img,resultId,weight,range,drawn
0,X89tEp9d7fnRtsAD,{},0,1 giant owl,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,WsL8UcE0vd96o4EL,{},0,[[1d6+3]] kobolds,icons/svg/d20-black.svg,,4,"[2, 5]",False
2,nVxIdvG97btWK0ig,{},0,[[1d4+3]] trappers (commoners),icons/svg/d20-black.svg,,3,"[6, 8]",False
3,JUFAO4SQkASlPU5t,{},0,1 owl,icons/svg/d20-black.svg,,2,"[9, 10]",False
4,sw8tUspz7kP6ETbT,{},0,[[2d4]] blood hawks,icons/svg/d20-black.svg,,2,"[11, 12]",False
5,Folb5lZZZjCBMn2H,{},0,[[2d6]] bandits,icons/svg/d20-black.svg,,5,"[13, 17]",False
6,of7CG1Ei7dCDWbTq,{},0,[[1d3]] winged kobolds with [[1d6]] kobolds,icons/svg/d20-black.svg,,3,"[18, 20]",False
7,obWk1Uzh0E6M9X5D,{},0,"The partially eaten carcass of a mammoth, from which [[1d4]] weeks of rations can be harvested.",icons/svg/d20-black.svg,,5,"[21, 25]",False
8,J7YX261boKwAOVfi,{},0,[[2d8]] hunters tribal warriors,icons/svg/d20-black.svg,,4,"[26, 29]",False
9,1eKA2DaAosFbfKKk,{},0,1 half-ogre,icons/svg/d20-black.svg,,6,"[30, 35]",False
10,0giVwDRSEmpqjkqz,{},0,Single-file tracks in the snow that stop abruptly,icons/svg/d20-black.svg,,5,"[36, 40]",False
11,kw2nDkExQvSI6PVp,{},0,[[1d3]] ice mephits,icons/svg/d20-black.svg,,5,"[41, 45]",False
12,nf1g0SwruElw9ZzY,{},0,1 brown bear,icons/svg/d20-black.svg,,5,"[46, 50]",False
13,7gGwfUbiLG2Xpps1,{},0,[[1d6+1]] orcs,icons/svg/d20-black.svg,,3,"[51, 53]",False
14,eeXmkJxwPQqtHekT,{},0,1 polar bear,icons/svg/d20-black.svg,,2,"[54, 55]",False
15,oAxNEY67Z0w1lhXR,{},0,[[1d6]] scouts,icons/svg/d20-black.svg,,2,"[56, 57]",False
16,aXNocuEkPNIprVXQ,{},0,1 saber-toothed tiger,icons/svg/d20-black.svg,,3,"[58, 60]",False
17,oOf4q7Zqev3S1MNd,{},0,A frozen pond with a jagged hole in the ice that appears recently made,icons/svg/d20-black.svg,,5,"[61, 65]",False
18,4LRrVNwEiMvR9lfY,{},0,1 berserker,icons/svg/d20-black.svg,,3,"[66, 68]",False
19,cr52we1NpO6npcTL,{},0,1 ogre,icons/svg/d20-black.svg,,2,"[69, 70]",False
20,NavCpqZEs7oyPP3H,{},0,1 griffon,icons/svg/d20-black.svg,,2,"[71, 72]",False
21,rNeD1xdP3qm2Dt86,{},0,1 druid,icons/svg/d20-black.svg,,3,"[73, 75]",False
22,O4Uynv1g0jE72bcj,{},0,[[3d4]] refugees (commoners) fleeing from orcs,icons/svg/d20-black.svg,,5,"[76, 80]",False
23,OIU2VqwDtcVVXeZv,{},0,[[1d3]] veterans,icons/svg/d20-black.svg,,1,"[81, 81]",False
24,wXYMyfFEP7YYBaRo,{},0,[[1d4]] orogs,icons/svg/d20-black.svg,,1,"[82, 82]",False
25,QKxhiVEM9wPxNnnj,{},0,2 brown bears,icons/svg/d20-black.svg,,1,"[83, 83]",False
26,xRIGeDNNbxHDhYZ0,{},0,1 orc Eye of Gruumsh and [[2d8]] orcs,icons/svg/d20-black.svg,,1,"[84, 84]",False
27,4UOci1KnoUj9sicT,{},0,[[1d3]] winter wolves,icons/svg/d20-black.svg,,1,"[85, 85]",False
28,xFLVq0AT8BheUJCW,{},0,[[1d4]] yetis,icons/svg/d20-black.svg,,2,"[86, 87]",False
29,XzcOP91dydkakoEA,{},0,1 half-ogre,icons/svg/d20-black.svg,,1,"[88, 88]",False
30,0wTv90J94QcCBuxD,{},0,[[1d3]] manticores,icons/svg/d20-black.svg,,1,"[89, 89]",False
31,olZoxqISTXNfz6kg,{},0,1 bandit captain with 2d6 bandits,icons/svg/d20-black.svg,,1,"[90, 90]",False
32,IoQQdpigGJzgKNPR,{},0,1 revenant,icons/svg/d20-black.svg,,1,"[91, 91]",False
33,c9BViZe7PY7gx6pu,{},0,1 troll,icons/svg/d20-black.svg,,2,"[92, 93]",False
34,uX5qlVyDQSkuuzyU,{},0,1 werebear,icons/svg/d20-black.svg,,2,"[94, 95]",False
35,iw7t1CL7ydTJOugA,{},0,1 young remorhaz,icons/svg/d20-black.svg,,2,"[96, 97]",False
36,TYgOKxrII8gBuiVX,{},0,1 mammoth,icons/svg/d20-black.svg,,1,"[98, 98]",False
37,VG0iKz1atxVNDdxk,{},0,1 young white dragon,icons/svg/d20-black.svg,,1,"[99, 99]",False
38,TT650am1RpjNDwLU,{},0,1 frost giant,icons/svg/d20-black.svg,,1,"[100, 100]",False
