_id,flags,type,text,img,resultId,weight,range,drawn
0,9QLmDpKJvG8sfOBl,{},0,"A white dragon feasts on dead carriage horses in the center of a large field, will the players sneak past or fight?",icons/svg/d20-black.svg,,1,"[1, 1]",False
1,ESGdhtrqCNHpzqUU,{},0,"The player's suddenly find their path blocked by a frozen lake, and must complete a skill challenge to cross safely.",icons/svg/d20-black.svg,,1,"[2, 2]",False
2,KWzCHzWEbjgn8BtJ,{},0,"The party stumbles across a group of orcs chopping town a grove of trees for firewood, and the local fey aren't pleased.",icons/svg/d20-black.svg,,1,"[3, 3]",False
3,8wkOLaHCiuBS2CiO,{},0,"An NPC is trapped on a block of ice in the center of a lake, and will fall in without help.",icons/svg/d20-black.svg,,1,"[4, 4]",False
4,c8GnhcpUOH57pYoV,{},0,"A blizzard has blown in, severely limiting visibility.",icons/svg/d20-black.svg,,1,"[5, 5]",False
5,Qo8n0dyoRNev0bxF,{},0,"A band of orc raiders, the chief is on a polar bear. [u/mfarnach]",icons/svg/d20-black.svg,,1,"[6, 6]",False
6,m3ii9GbWbpRQBJJo,{},0,A white ooze is disguised as a snow drift and your party has wandered into it. [u/Skele11],icons/svg/d20-black.svg,,1,"[7, 7]",False
7,ec8G8ClF6Ea6yGyV,{},0,Winter wolves [u/Boneguy1998],icons/svg/d20-black.svg,,1,"[8, 8]",False
8,TeMA7DkhdCtAiXLM,{},0,The party melts ice only to find out they thawed a water elemental. [u/Captnlunch],icons/svg/d20-black.svg,,1,"[9, 9]",False
9,8ZWLOGSzL0EosnLD,{},0,"A crazed Wizard has made an illusion around the party, making them walk in circles. [u/Golden-Owl-official]",icons/svg/d20-black.svg,,1,"[10, 10]",False
10,5KK73q36m01ZK2qj,{},0,The party comes across a table that has been enchanted to stub their toes as they pass. [u/Golden-Owl-official],icons/svg/d20-black.svg,,1,"[11, 11]",False
11,0oFBRVsgcOxVG0Cm,{},0,"A dragon flies over, causing an avalanche, DC15 Dex save or be trapped under the snow. [u/Golden-Owl-official]",icons/svg/d20-black.svg,,1,"[12, 12]",False
12,R350KFUneuFZ8MUi,{},0,"The party sees a strange man just ahead, when they approach they see that it is a snowman with a cloak on it. [u/Golden-Owl-official]",icons/svg/d20-black.svg,,1,"[13, 13]",False
13,3L8V7mOBvSjcXcOi,{},0,"Up ahead the party hears a Rhemoraz and a dragon fighting, but cannot see them yet. [u/Golden-Owl-official]",icons/svg/d20-black.svg,,1,"[14, 14]",False
14,XsGTymbPcNzUbnsg,{},0,Approached by a gang of goblins in sleds pulled by dire wolves [u/unoriginalname2],icons/svg/d20-black.svg,,1,"[15, 15]",False
15,aTYu0jpODqSHSUeq,{},0,The ice cracks around them and they are now adrift on the water. [u/unoriginalname2],icons/svg/d20-black.svg,,1,"[16, 16]",False
16,c5j6Mb7VrrQ4knVX,{},0,"The party comes across an ice locked ship frozen, and crushed by the ice long ago. Loot, lore, and maybe skeletons inside. [u/mikeymanza]",icons/svg/d20-black.svg,,1,"[17, 17]",False
17,0Xh3lBHq9w064A6x,{},0,"The players encounter a frozen lake with a massive dark shape in the middle, and on the frozen surface are cultists chanting and sacrificing frozen corpses to the thing in the ice. [u/Amitisgod]",icons/svg/d20-black.svg,,1,"[18, 18]",False
18,7m30XVHKdjT7sRXN,{},0,"The party is trudging across the ice alongside a freezing river/ocean/lake, and suddenly the ice cracks, leaving the player stuck on an ice raft in the middle of a dangerously cold body of water. [u/XXmilleniumXX]",icons/svg/d20-black.svg,,1,"[19, 19]",False
19,kxaW6PIzLLzysFlv,{},0,"A skill challenge (can use magic): A lone herder asks the party to help him catch 4 specific reindeer with (or without) a lasso. Those 8 reindeer have different shaped ears than others (Perception check DC14). You can lure, try to catch, try to lasso, anything. Just doing the same thing increases the DC by one, baseline DC 15. The size of the herd is around 100. The reindeer love some hay or lichen and will come immediately to check. Otherwise no reindeer allows a human within 10 feet. Prize: A whistle, carved out of an antler, that let's out a high pitched, yet weirdly beautiful sound when blown into. Will attract all wild animals within 500 feet. [u/Salliin]",icons/svg/d20-black.svg,,1,"[20, 20]",False
20,jbx30panl1b8QwSz,{},0,"An old sailing ship has been locked in the ice for generations. Only the skeletons of the crew remain on board, along with a hold full of gold and treasure. At it's center, the skull of a dragon. The treasure, however, is cursed. Should one piece of gold leave the hold and make its way topside, the skeletons come to life, and should that piece of gold leave the ship, a giant skeletal dragon shall rise from within the ship and murder any who steals its treasure - to which it has bound it's eternal life by way of its ancient greed. [u/hcaneandrew]",icons/svg/d20-black.svg,,1,"[21, 21]",False
21,t574U1xjkFmRyV19,{},0,"A Bheur Hag starts stalking the party. She won't directly attack them unless they attack her, but she will attempt to sabotage them at every opportunity. [u/Quantext609]",icons/svg/d20-black.svg,,1,"[22, 22]",False
22,5A5cnXBPxbUuRZSc,{},0,"The party encounters a wandering white dragonborn who's searching for a lost ruin that is supposed to be in this area. Because of his cold resistance, he wears almost nothing because he's immune to hypothermia. [u/Quantext609]",icons/svg/d20-black.svg,,1,"[23, 23]",False
23,o3ynPEcnBZfAiNdz,{},0,The party stumbles across a colossal igloo with it's only entrance being at the top. Inside the igloo is a Silver Dragon that has been protecting the people inside for generations. They worship it as a god and have no concept of the outside world. [u/Quantext609],icons/svg/d20-black.svg,,1,"[24, 24]",False
24,DUofpdB3dS7iPGZ7,{},0,"The party encounters a Yuki-Onna. She takes interest in any male party members and will first attempt to seduce them into coming with her. If they reject her offers, she gets angry and will attempt to freeze the party to death. [u/Quantext609]",icons/svg/d20-black.svg,,1,"[25, 25]",False
25,T1S8SNHhxmDSevix,{},0,"A unicorn that, if followed, will lead the party to a secluded glen sheltered from the harsh elements. [u/Brand_News_Detritus]",icons/svg/d20-black.svg,,1,"[26, 26]",False
26,e5wSb2ODi7pMNiNA,{},0,"A band of ghosts wandering the tundra, if they attempt to communicate the ghosts reveal they cannot pass on until their bodies are properly disposed of (the players must find the bodies and burn them on funeral pyres). [u/Brand_News_Detritus]",icons/svg/d20-black.svg,,1,"[27, 27]",False
27,k6JWstOAEPeLgoEi,{},0,"A village of people who graciously offer the party food and shelter but it’s clear they’re hiding something. The villagers are all werebears and, while Neutral-Good, are wary of outsiders discovering their secret. [u/Brand_News_Detritus]",icons/svg/d20-black.svg,,1,"[28, 28]",False
28,mBtgOk9BI9uXvwMr,{},0,A hunting party of frost giants whose chieftain is seeking a Remorhaz to add to his trophy collection. [u/Brand_News_Detritus],icons/svg/d20-black.svg,,1,"[29, 29]",False
29,P6NLLAvycpkg7VOQ,{},0,"A barren field where will-o’-wisps appear at night, these wisps trail colors behind them like the aurora. A massive battle happened here, but who fought? And how long ago? [u/Brand_News_Detritus]",icons/svg/d20-black.svg,,1,"[30, 30]",False
30,dvNmdNsTvy92uaGu,{},0,A mated pair of yeti stalking the tundra for prey. [u/Brand_News_Detritus],icons/svg/d20-black.svg,,1,"[31, 31]",False
31,UHoW1lpKk3UndPI6,{},0,A silver dragon who hasn’t had mortals pass through their lands in decades. Very friendly but will chew the party’s ear off about recent events and changes in the outside world. [u/Brand_News_Detritus],icons/svg/d20-black.svg,,1,"[32, 32]",False
32,F5p5qGzM2DMBJEVJ,{},0,An arctic fox runs out crossing the path of the players carrying a dismembered human hand. The fox will not fight the party instead fleeing leaving the hand behind. Roll 1D4 for the number of rings on the hand. [u/Bwabit3VS],icons/svg/d20-black.svg,,1,"[33, 33]",False
33,HHuuBXU32Jw3AROS,{},0,The temperature drops dramatically making hypothermia/ frost damage even more potent than before.,icons/svg/d20-black.svg,,1,"[34, 34]",False
34,CUzWdj8mHWXdO4xT,{},0,"The party encounters a strange reverse-oasis (or hot springs, for some people), which has a hut and a small inn. Is it a true rest area, though, or does something more sinister lurk?",icons/svg/d20-black.svg,,1,"[35, 35]",False
35,1rZFFiGHtignFv0z,{},0,"A ripple waves against the icy ground, as the already cold air drops even more, and the party is warped to the Elemental Plane of Ice. (use only on mid-high level characters).",icons/svg/d20-black.svg,,1,"[36, 36]",False
36,06IJBV9dliblSeEP,{},0,"The party wakes up at camp surrounded by magically enchanted snowmen (using the Scarecrow stat block). They act as guards for an Ice Hag, making sure the party don't get too close to her lair...or perhaps, beckoning them toward her.",icons/svg/d20-black.svg,,1,"[37, 37]",False
37,99lo9FJtCiptTBEb,{},0,"A magic-user stands over a group of orc/giant corpses (depending on party's level), drawing a tote of power from them. What is the purpose of this, and who's the truely evil one here?",icons/svg/d20-black.svg,,1,"[38, 38]",False
38,3kPUxJRecqFfzHNj,{},0,"A clan of Ice Giants, carrying sufficient amount of meat for them off a recent kill, come across the party. They demand the party retreat, or prove their might as warriors, throwing a few of their champions/captives/pets to fight. Perhaps as a twist, this was just a random giant throwing out the challenge, thinking himself bigger, and the leader shows up, quells the fight (regardless of who's winning), and welcomes the party to their feast.",icons/svg/d20-black.svg,,1,"[39, 39]",False
39,mdFSpGHvIys5XgXJ,{},0,"A trading vessel has become stranded along the ice, and those onboard are likely going to die or freeze without help. They could be legit traders, secretly diplomats for a city important to the PCs, or actually agents for the BBEG, who might be using this opportunity as a trap.",icons/svg/d20-black.svg,,1,"[40, 40]",False
40,0ldvenqfTBrgUJ9r,{},0,"The party comes across a caravan of pilgrims out to see a variant of the aurora that only comes out once a decade. They'll gladly take on anyone who wants to join, and they can share valuable tips about food caches and shelter in the nearby area.",icons/svg/d20-black.svg,,1,"[41, 41]",False
41,bHpV9OgAyX2VydWd,{},0,"The party is being stalked by a chittering pack of ice and steam mephits, which are looking for victims upon which they can enact petty evils. They try to keep themselves hidden and motionless when they think the party might detect them, but swarm the party when they realize they've been noticed.",icons/svg/d20-black.svg,,1,"[42, 42]",False
42,4t3gX5GUUcsDMy7f,{},0,"The party encounters a group of hunters attempting to find and take trophies from a giant polar owlbear. The hunters are on the lookout for a little extra manpower, especially since they're racing against another group with the same objective, with honor and prestige at stake.",icons/svg/d20-black.svg,,1,"[43, 43]",False
43,wJEJrntRBIwACOD8,{},0,Unexplained angels in the snow that are different sizes and shapes due to other races doing that.,icons/svg/d20-black.svg,,1,"[44, 44]",False
44,MeeRBQEdlrRG3xUd,{},0,"The party comes across an enormous wailing Ice Giant, if they approach too closely the giant will spot them and attempt to bring them back to their lair. It is friendly, but clearly insane. Referring to the party as pets, and even attempting to pick them up and stroke their hair. [u/TheGentlemanK]",icons/svg/d20-black.svg,,1,"[45, 45]",False
45,AriHzn7SctCUWyvf,{},0,Your party realizes they are being stalked night and day by an enormous dire polar bear. [u/TheGentlemanK],icons/svg/d20-black.svg,,1,"[46, 46]",False
46,U2AyWV2WgoHeDckg,{},0,"A pack of winter wolves runs in front of you chasing a great elk or moose. If the party interferes, the great elk will lead them to a nearby Arctic Druid. [u/TheGentlemanK]",icons/svg/d20-black.svg,,1,"[47, 47]",False
47,8LS7gDfpGoCUBfkk,{},0,"A penguin pops out of some nearby ice and waddles up close to the party. It is friendly. But immediately deals 1d8 psychic damage to anyone who questions what a penguin is doing in an arctic environment, before disappearing. [u/TheGentlemanK]",icons/svg/d20-black.svg,,1,"[48, 48]",False
48,drUl0R7BeNnuPFk1,{},0,A man or orc encounters the party stark naked and raving mad. He’s quite likely suffering from hypothermia. If the party can help him survive he will lead them to a village for refuge and a grateful family that has been searching for him. [u/TheGentlemanK],icons/svg/d20-black.svg,,1,"[49, 49]",False
49,BFRVyFyApISHxGSn,{},0,A village carved entirely out of magical unmelting ice. [u/TheGentlemanK],icons/svg/d20-black.svg,,1,"[50, 50]",False
50,5I8EI2qNhSoA8ahn,{},0,"In the long darkness of the artic night, the party sees a glow like the sun in the distance. An entire farming village in the midst of the vast tundra sits beneath a warm and brightly glowing stone. [u/TheGentlemanK]",icons/svg/d20-black.svg,,1,"[51, 51]",False
