_id,flags,type,text,img,resultId,weight,range,drawn
0,hg2XCCh8dp43qKVU,{},0,1 pseudodragon,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,ZhYVqW6n5E4y8XcJ,{},0,[[2d8]] crabs,icons/svg/d20-black.svg,,4,"[2, 5]",False
2,hYY3CcyyIamINoGs,{},0,[[2d6]] fishers (commoners),icons/svg/d20-black.svg,,5,"[6, 10]",False
3,ICj8FIOJyf3QBWlF,{},0,[[1d3]] poisonous snakes,icons/svg/d20-black.svg,,1,"[11, 11]",False
4,hiavzA9ghAWnhYHb,{},0,[[1d6]] guards protecting a standard noble,icons/svg/d20-black.svg,,2,"[12, 13]",False
5,UPysHiRSuO1fEk2W,{},0,[[2d4]] scouts,icons/svg/d20-black.svg,,2,"[14, 15]",False
6,s4YothTSJERDlRhZ,{},0,[[2d10]] merfolk,icons/svg/d20-black.svg,,3,"[16, 18]",False
7,m9v8H1WoOIIN9Vkt,{},0,[[1d6+2]] sahuagin,icons/svg/d20-black.svg,,2,"[19, 20]",False
8,yQwpsw2LGDKdWqrg,{},0,"[[1d4]] ghouls feeding on corpses aboard the wreckage of a merchant ship. A search uncovers [[2d6]] bolts of ruined silk, a 50-foot length of rope. and a barrel of salted herring.",icons/svg/d20-black.svg,,5,"[21, 25]",False
9,qSFDKiwewAvvB24x,{},0,[[1d4]] winged kobolds with [[1d6+1]] kobolds,icons/svg/d20-black.svg,,2,"[26, 27]",False
10,FLqkdPf7DPblCKRI,{},0,[[2d6]] tribal warriors,icons/svg/d20-black.svg,,2,"[28, 29]",False
11,psKwMQBdS4b7dHOj,{},0,[[3d4]] kobolds,icons/svg/d20-black.svg,,2,"[30, 31]",False
12,yHaAKcdYoOjvPT8U,{},0,[[2d4+5]] blood hawks,icons/svg/d20-black.svg,,2,"[32, 33]",False
13,7xERaccabq3IS0nG,{},0,[[1d8+1]] pteranodons,icons/svg/d20-black.svg,,2,"[34, 35]",False
14,cHRHLpoCVHJess3b,{},0,A few dozen baby turtles struggling to make their way to the sea,icons/svg/d20-black.svg,,5,"[36, 40]",False
15,3CjJyqggCpBaiOUb,{},0,[[1d6+2]] giant lizards,icons/svg/d20-black.svg,,2,"[41, 42]",False
16,zgbDDY92qlXa0yal,{},0,[[1d6+4]] giant crabs,icons/svg/d20-black.svg,,2,"[43, 44]",False
17,UQsC5SqlPKjeJCja,{},0,[[2d4]] stirges,icons/svg/d20-black.svg,,2,"[45, 46]",False
18,7IXRWEv98E5L6G1F,{},0,[[2d6+3]] bandits,icons/svg/d20-black.svg,,2,"[47, 48]",False
19,fvUwmrZVzVDsNOge,{},0,[[2d4]] sahuagin,icons/svg/d20-black.svg,,5,"[49, 53]",False
20,zEwmbisNKFUS6JHV,{},0,[[1d6+2]] scouts,icons/svg/d20-black.svg,,2,"[54, 55]",False
21,X6Scr7jEPWSJodi5,{},0,1 sea hag,icons/svg/d20-black.svg,,5,"[56, 60]",False
22,RORGkZE7XQIMLcrl,{},0,A momentary formation in the waves that looks like an enormous humanoid face,icons/svg/d20-black.svg,,5,"[61, 65]",False
23,wp4pCbfk5cmoybBB,{},0,1 druid,icons/svg/d20-black.svg,,5,"[66, 70]",False
24,b5Lk1JVm3FN6Gt9l,{},0,[[1d4]] harpies,icons/svg/d20-black.svg,,5,"[71, 75]",False
25,E7GPejbc78dAHQsq,{},0,A lone hermit (acolyte) sitting on the beach contemplating the meaning of the multiverse,icons/svg/d20-black.svg,,5,"[76, 80]",False
26,i1z2F1SHf9zmhmSa,{},0,[[1d4]] berserkers,icons/svg/d20-black.svg,,1,"[81, 81]",False
27,DorOYFFDypLbhFxD,{},0,[[1d6]] giant eagles,icons/svg/d20-black.svg,,1,"[82, 82]",False
28,zD13mWosxYGVisMn,{},0,[[2d4]] giant toads,icons/svg/d20-black.svg,,1,"[83, 83]",False
29,ph0uC5KGktouiVBH,{},0,[[1d4]] ogres or 1d4 merrow,icons/svg/d20-black.svg,,1,"[84, 84]",False
30,sj7XfZJQIu1AgA8Z,{},0,[[3d6]] sahuagin,icons/svg/d20-black.svg,,1,"[85, 85]",False
31,B6hEpA0LtwfFMstX,{},0,[[1d4]] veterans,icons/svg/d20-black.svg,,1,"[86, 86]",False
32,49xDg10L4Jg1mx77,{},0,[[1d2]] plesiosauruses,icons/svg/d20-black.svg,,1,"[87, 87]",False
33,dw9ica0UzWQEka0T,{},0,1 bandit captain with [[2d6]] bandits,icons/svg/d20-black.svg,,1,"[88, 88]",False
34,il18du4QXkmhiIpN,{},0,[[1d3]] manticores,icons/svg/d20-black.svg,,1,"[89, 89]",False
35,Vz4gmHSIFGyVwr1K,{},0,1 banshee,icons/svg/d20-black.svg,,1,"[90, 90]",False
36,igkgi4bdKE5HgTGZ,{},0,[[1d4+3]] griffons,icons/svg/d20-black.svg,,2,"[91, 92]",False
37,SRONEdQ5A3pPmw1n,{},0,1 sahuagin priestess with [[1d3]] merrow and [[2d6]] sahuagin,icons/svg/d20-black.svg,,2,"[93, 94]",False
38,CH4XnzLaqqXXuYyW,{},0,1 sahuagin baron,icons/svg/d20-black.svg,,2,"[95, 96]",False
39,CSpg296zTB6l2Mt4,{},0,1 water elemental,icons/svg/d20-black.svg,,2,"[97, 98]",False
40,arU9YgJAhxzZI2md,{},0,1 cyclops,icons/svg/d20-black.svg,,1,"[99, 99]",False
41,ueyjWcisbuMlelEr,{},0,1 young bronze dragon,icons/svg/d20-black.svg,,1,"[100, 100]",False
