_id,flags,type,text,img,resultId,weight,range,drawn
0,RIHr5l3i51ro63E2,{},0,[[3d8]] scorpions,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,5RNjkOmXos7X8DUD,{},0,[[2d4]] vultures,icons/svg/d20-black.svg,,1,"[2, 2]",False
2,djnv6p0CD0TDX2aw,{},0,1 abandoned mule,icons/svg/d20-black.svg,,1,"[3, 3]",False
3,Gqextqwzvv2nyiWI,{},0,[[2d6]] commoners with [[2d4]] camels bound for a distant city,icons/svg/d20-black.svg,,1,"[4, 4]",False
4,XFH15d5lyNfMbh0n,{},0,[[1d6]] flying snakes,icons/svg/d20-black.svg,,1,"[5, 5]",False
5,BWHOxMkHOJaLaDsP,{},0,[[2d6]] hyenas or [[2d6]] jackals,icons/svg/d20-black.svg,,1,"[6, 6]",False
6,Gr4fZeMgwU4pGubn,{},0,"[[1d6]] guards escorting a noble to the edge of the desert, all of them astride camels",icons/svg/d20-black.svg,,1,"[7, 7]",False
7,ooQugoVMTOlVxyHN,{},0,[[1d6]] cats,icons/svg/d20-black.svg,,1,"[8, 8]",False
8,lH7QlNjDMbSCiUKJ,{},0,1 pseudodragon,icons/svg/d20-black.svg,,1,"[9, 9]",False
9,NjumgGpPWcXv64WH,{},0,[[1d4]] poisonous snakes,icons/svg/d20-black.svg,,1,"[10, 10]",False
10,QCXsih4AYN0c2whm,{},0,[[2d4]] stirges,icons/svg/d20-black.svg,,3,"[11, 13]",False
11,1ExCbjAG1PnLFnqR,{},0,[[1d6+2]] giant wolf spiders,icons/svg/d20-black.svg,,2,"[14, 15]",False
12,Mpkrn1m5cH2JUhWt,{},0,1 scout,icons/svg/d20-black.svg,,2,"[16, 17]",False
13,qISBOcbfD2LZt5sd,{},0,[[2d4]] giant poisonous snakes,icons/svg/d20-black.svg,,3,"[18, 20]",False
14,XxhcPTmUbWEjxLte,{},0,Single-file tracks marching deeper into the desert,icons/svg/d20-black.svg,,5,"[21, 25]",False
15,cXkboStS8LKEky1S,{},0,[[4d4]] kobolds,icons/svg/d20-black.svg,,2,"[26, 27]",False
16,n7l5AAyOzdU2wZhJ,{},0,1 jackalwere,icons/svg/d20-black.svg,,2,"[28, 29]",False
17,uIxsq8a9eVIXVUdr,{},0,[[3d6]] tribal warriors,icons/svg/d20-black.svg,,2,"[30, 31]",False
18,73j6w7yTcZ9EzlOy,{},0,[[1d6]] giant lizards,icons/svg/d20-black.svg,,2,"[32, 33]",False
19,0YqR2xf1MvKQEsSz,{},0,1 swarm of insects,icons/svg/d20-black.svg,,2,"[34, 35]",False
20,8SMX5YfzuHqESEx7,{},0,An oasis surrounded by palm trees and containing the remnants of an old camp,icons/svg/d20-black.svg,,5,"[36, 40]",False
21,aFvCiMNcPdIGr52g,{},0,[[3d6]] bandits,icons/svg/d20-black.svg,,4,"[41, 44]",False
22,3SPlesBewBRAjx0P,{},0,[[1d4]] constrictor snakes,icons/svg/d20-black.svg,,2,"[45, 46]",False
23,0p72tdg5NYKMnYs0,{},0,[[2d4]] winged kobold,icons/svg/d20-black.svg,,2,"[47, 48]",False
24,Y76Zf7aH7uYLbJjm,{},0,1 dust mephit,icons/svg/d20-black.svg,,2,"[49, 50]",False
25,HCYP8NwbPpOg8uAl,{},0,[[1d3+1]] giant toads,icons/svg/d20-black.svg,,2,"[51, 52]",False
26,0b3Wqyx3wrWK4X80,{},0,[[1d4]] giant spiders,icons/svg/d20-black.svg,,2,"[53, 54]",False
27,LMm8vfX7ROmTmxq6,{},0,1 druid,icons/svg/d20-black.svg,,1,"[55, 55]",False
28,9ymVaadvckWEnlJD,{},0,[[2d4]] hobgoblins,icons/svg/d20-black.svg,,2,"[56, 57]",False
29,BqTwvctSMvqhmxzr,{},0,1 wight,icons/svg/d20-black.svg,,1,"[58, 58]",False
30,szkYc67K5lOhbLJb,{},0,1 ogre,icons/svg/d20-black.svg,,2,"[59, 60]",False
31,RZ8e1KKCaxt9wnvh,{},0,A brass lamp lying on the ground,icons/svg/d20-black.svg,,5,"[61, 65]",False
32,JAu14ly6FVThJahU,{},0,[[1d4]] giant vultures,icons/svg/d20-black.svg,,2,"[66, 67]",False
33,fScqEP6NiKkOAyjB,{},0,1 phase spider,icons/svg/d20-black.svg,,1,"[68, 68]",False
34,x1oIgymoyIShNp5y,{},0,1 giant constrictor snake,icons/svg/d20-black.svg,,1,"[69, 69]",False
35,neOBrhdoiBRkEDnl,{},0,1 gnoll pack lord with [[1d3]] giant hyenas,icons/svg/d20-black.svg,,2,"[70, 71]",False
36,lvIEb2bfNyfY4ZK1,{},0,[[1d6+2]] gnolls,icons/svg/d20-black.svg,,1,"[72, 72]",False
37,gYFIvfM4QKGcQrCt,{},0,1 mummy,icons/svg/d20-black.svg,,2,"[73, 74]",False
38,UTfh85RSjWzEmlAg,{},0,[[1d3]] half-ogres,icons/svg/d20-black.svg,,1,"[75, 75]",False
39,ACF8joYbTkjDDGVG,{},0,A pile of humanoid bones wrapped in rotting cloth,icons/svg/d20-black.svg,,5,"[76, 80]",False
40,RDzVcrEnsjuFimUg,{},0,1 lamia,icons/svg/d20-black.svg,,2,"[81, 82]",False
41,zMUUkjiLiTIKDZxs,{},0,1 hobgoblin captain with [[2d6]] hobgoblins,icons/svg/d20-black.svg,,1,"[83, 83]",False
42,NcMh6PQF4DdNf9UI,{},0,[[2d4]] death dogs,icons/svg/d20-black.svg,,1,"[84, 84]",False
43,bGsDFwzN9lUhZqqG,{},0,[[1d4]] giant scorpions,icons/svg/d20-black.svg,,2,"[85, 86]",False
44,duh0RSeOcoygSD98,{},0,1 yuan-ti malison with [[1d4+1]] yuan-ti purebloods,icons/svg/d20-black.svg,,1,"[87, 87]",False
45,2bgkCgk1dAWKQPkF,{},0,1 bandit captain with 1 druid and [[3d6]] bandits,icons/svg/d20-black.svg,,2,"[88, 89]",False
46,1QbKdbj6DnfdWqnG,{},0,[[2d4]] thri-kreen,icons/svg/d20-black.svg,,1,"[90, 90]",False
47,nPVuA5Petz4qemH5,{},0,1 air elemental,icons/svg/d20-black.svg,,1,"[91, 91]",False
48,MrYxsqkpsHB6myHw,{},0,[[1d3]] couatls,icons/svg/d20-black.svg,,1,"[92, 92]",False
49,TQTAdvQSbeHeAZp7,{},0,1 fire elemental,icons/svg/d20-black.svg,,1,"[93, 93]",False
50,TS0lYWqdAb80pLfG,{},0,[[1d4]] gnoll fangs of Yeenoghu,icons/svg/d20-black.svg,,1,"[94, 94]",False
51,I842Jvii2AijcQ2E,{},0,1 revenant,icons/svg/d20-black.svg,,1,"[95, 95]",False
52,VWlhdHVUHinRXhM2,{},0,[[1d4]] weretigers,icons/svg/d20-black.svg,,1,"[96, 96]",False
53,A764Tf8mvbXwI1jJ,{},0,1 cyclops,icons/svg/d20-black.svg,,1,"[97, 97]",False
54,qh7o93rcGGZIs8vZ,{},0,1 young brass dragon,icons/svg/d20-black.svg,,1,"[98, 98]",False
55,3J2pb96R6elvnb5T,{},0,1 medusa,icons/svg/d20-black.svg,,1,"[99, 99]",False
56,A6G4QLBzEtOiVKwa,{},0,1 yuan-ti abomination,icons/svg/d20-black.svg,,1,"[100, 100]",False
