_id,flags,type,text,weight,range,drawn
0,SrILuzpodwno7uWp,{},0,1 young brass dragon,1,"[1, 1]",False
1,SHD3pQriOdGN2yyK,{},0,[[4d6]] gnolls,4,"[2, 5]",False
2,IyB6UVb0CLDN8GX6,{},0,[[3d10]] giant hyenas,5,"[6, 10]",False
3,dzOCSWjUYazM5lZ9,{},0,[[1d8+1]] lamias,2,"[11, 12]",False
4,ODTNBTGf7PSaOEBa,{},0,[[2d4]] gnoll fangs of Yeenoghu,2,"[13, 14]",False
5,jcgwlSXGmqRiLpNv,{},0,[[1d6+2]] giant scorpions,3,"[15, 17]",False
6,Cx9pOOCneU5SrfAC,{},0,[[2d4]] phase spiders,3,"[18, 20]",False
7,9HhsVjec4A07u9gp,{},0,A desert caravan consisting of [[1d6]] merchants (nobles) with [[2d6]] guards,5,"[21, 25]",False
8,VHZG2wNII4IGYNJt,{},0,[[1d6+1]] couatls,2,"[26, 27]",False
9,1PjSTHpjbxcqa0uP,{},0,[[1d4]] fire elementals,3,"[28, 30]",False
10,jeu8MyRzBMtkQcEW,{},0,1 hobgoblin captain with [[3d10+10]] hobgoblins,2,"[31, 32]",False
11,xEOzy7yHo37QCD1p,{},0,[[2d4]] wights,3,"[33, 35]",False
12,eorsKQU38G90XevH,{},0,[[1d6]] square miles of desert glass,5,"[36, 40]",False
13,Yq62lI9Lebjqxggk,{},0,1 young blue dragon,2,"[41, 42]",False
14,tiGnZ9VFBg1qJ5gk,{},0,[[1d6+2]] weretigers,3,"[43, 45]",False
15,PaZrLixdcCUWBB8M,{},0,[[1d4]] air elementals,3,"[46, 48]",False
16,2GD75ZG1889Tcgva,{},0,[[1d6+1]] yuan-ti malisons,2,"[49, 50]",False
17,mzaekkFJCqEShMLN,{},0,[[1d4]] medusas,5,"[51, 55]",False
18,9faYGlGVcJKKQA4P,{},0,[[1d4]] revenants with [[3d12]] skeletons,5,"[56, 60]",False
19,PsHS1C1zIkNBTpr5,{},0,A plundered pyramid,5,"[61, 65]",False
20,YGg1S2qVaO61CUlY,{},0,[[1d4]] young brass dragons,5,"[66, 70]",False
21,sEdJgt01Eh7ECIfB,{},0,[[1d3]] yuan-ti abominations,5,"[71, 75]",False
22,ispZ9yll4zKkl14t,{},0,[[1d6+2]] cyclopes,3,"[76, 78]",False
23,mRQT7v0trGyRGue7,{},0,1 adult brass dragon,4,"[79, 82]",False
24,o3BY18vWysg4bBfZ,{},0,1 purple worm,3,"[83, 85]",False
25,FRu5WQ9flEyPpt2T,{},0,[[1d2]] young blue dragons,1,"[86, 86]",False
26,wavaIOOPmLskour3,{},0,1 mummy lord,2,"[87, 88]",False
27,JAeVcRrI7Lm1VqSY,{},0,[[1d3]] guardian nagas,1,"[89, 89]",False
28,JjxBQ4YTpN66KPHK,{},0,1 adult blue dragon,1,"[90, 90]",False
29,84uLyKC02UCpdUkr,{},0,[[1d2]] gynosphinxes,1,"[91, 91]",False
30,CMDkE2DaOdYNVbVn,{},0,[[1d3]] efreet,2,"[92, 93]",False
31,aJWgiaLlvyX2W0iw,{},0,1 androsphinx,1,"[94, 94]",False
32,129YPckXrHh52g8m,{},0,[[1d4]] rocs,1,"[95, 95]",False
33,wMUy7eR1vop4UC0S,{},0,1 adult blue dracolich,2,"[96, 97]",False
34,V6FIqq0JastBJhqm,{},0,1 ancient brass dragon,2,"[98, 99]",False
35,NUpsdoZeBcBKJ0nn,{},0,1 ancient blue dragon,1,"[100, 100]",False
