_id,flags,type,text,img,resultId,weight,range,drawn
0,TTp6oUEV5U8TqqY9,{},0,A carved stone pillar is poking out of the sand dunes. The markings on the pillar are not in the local language.,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,aMZPSRDpdr3MjPAT,{},0,"A beautiful oasis, with people and green palms surrounding a huge pool of cool water. The tempting scene lacks clear borders, is this real or could this be a mirage? And is there something more sinister behind this idyllic place?",icons/svg/d20-black.svg,,1,"[2, 2]",False
2,OxGHrHSTjLppRlBs,{},0,The party comes up to a small garden of cacti and succulents being cared for by a dessert Druid. She doesn’t get company often and will have conversations with the plants. She’ll offer the party some cactus juice. Anyone who drinks it and fails a saving throw will trip out for a couple hours.,icons/svg/d20-black.svg,,1,"[3, 3]",False
3,dM0XNRguXOQWw2a6,{},0,"A sandstorm forces the party to take shelter, they hear voices screaming in the wind.",icons/svg/d20-black.svg,,1,"[4, 4]",False
4,dVjHStDaHhkIsnd0,{},0,"A bell chimes. Only those failing a Wisdom saving throw hear it, but they are compelled to seek it out.",icons/svg/d20-black.svg,,1,"[5, 5]",False
5,zhoTpuOffiuqppVE,{},0,"The side of a huge dune the party are walking along the side of for shade falls down, risking burying the party.",icons/svg/d20-black.svg,,1,"[6, 6]",False
6,OogXxHUE4t5IDap0,{},0,"The party comes across a group of nomads. They are bandits but offer the party their hospitality for three days, at which point they will decide how best to rob the party.",icons/svg/d20-black.svg,,1,"[7, 7]",False
7,LL7CvsZGQs2sEscB,{},0,A single purple flower in the desert sands. If checked for magic it radiates a low aura of alteration magic which dissipates if picked.,icons/svg/d20-black.svg,,1,"[8, 8]",False
8,77475Soe3zc44dKa,{},0,"Sand clouds begin to resolve to a wind rigged skiff, then to a group of elves in pursuit.",icons/svg/d20-black.svg,,1,"[9, 9]",False
9,fIKul4Efj2H0Mz3Q,{},0,"Rain begins to fall, tendrils reach up all around you and flower within seconds, releasing a beautiful scent. Constitution save to remain conscious and start to remove yourself from the flowering field.",icons/svg/d20-black.svg,,1,"[10, 10]",False
10,LFsvStrzskQqDNUA,{},0,"The party finds a construction made of junk: a small citadel, home to friendly scavengers, who offer to aid the players, and provide some hospitality. Should they accept it, a sandstorm occurs, and the citadel is attacked by crazy raiders on horses. A lovely day.",icons/svg/d20-black.svg,,1,"[11, 11]",False
11,5Kf9hFLVVKcvgflM,{},0,"The party comes across a couple rocks, arranged in a circle. In the center, there is a precious gem. If they take it, the rocks start to rise up, and slightly curve inwards as they do, threatening to trap and suffocate whoever doesn’t escape. It takes a CR 25 STR check (aka someone needs to have +5 STR) to break the sandstone.",icons/svg/d20-black.svg,,1,"[12, 12]",False
12,qzsROixMsil9OTEW,{},0,"There is an area with several small cracks on the floor. The party must go through it to get to their destination, but every turn they spend in there, 2d6 hostile scorpions emerge from the ground.",icons/svg/d20-black.svg,,1,"[13, 13]",False
13,mGLPuPu1dteuQnKJ,{},0,"The party is greeted by camel merchants. The animals are docile and follow simple orders, costing 50 gold each.",icons/svg/d20-black.svg,,1,"[14, 14]",False
14,pmHdvFBYE4BpfFV3,{},0,"Each player has to make a CR 17 Perception save. On a fail, they see a large lake, with crystal clear waters, surrounded by a couple meters of vegetation. It’s all a mirage, though, and the lake is actually quicksand.",icons/svg/d20-black.svg,,1,"[15, 15]",False
15,rxfSGvE13cR3fCNh,{},0,The party crests a dune to see a field of bones stretching for hundreds of yards. A DC 20 perception check reveals thousands of red ants swarming the skeletons.,icons/svg/d20-black.svg,,1,"[16, 16]",False
16,UKzgdz1HJAGmtgsO,{},0,"A hungry lioness can be seen peeking over the top of the next sand dune. The rest of her pride is lying further down, in wait, ready to sprint around to encircle the party and cut off points of escape.",icons/svg/d20-black.svg,,1,"[17, 17]",False
17,tMhSY2geSAGI23wg,{},0,"The party hears a sound somewhere in between slithering, scraping, and the rush of an object through the air. As they crest the next sand dune, they see a gigantic sand worm rushing past, oblivious to their presence.",icons/svg/d20-black.svg,,1,"[18, 18]",False
18,hb4Wcly8NFEMrqAU,{},0,"The party hears the sound of war drums, seemingly very close. It’s actually the drum sand that it turns out they were walking on.",icons/svg/d20-black.svg,,1,"[19, 19]",False
19,UIKq5sz5EfW9mD0X,{},0,"A rather sad flumph is seen floating about the desert. If it asks for help, it states that it wandered too far away from its cave home, and is now lost. Once the party finds any kind of cave entrance, the flumph will thank them and will return to its subterranean life.",icons/svg/d20-black.svg,,1,"[20, 20]",False
20,wOqZleAE7YVRIEq0,{},0,A crashed and stripped airship from a battle long ago. A group of scorpions have claimed the remains for the shade.,icons/svg/d20-black.svg,,1,"[21, 21]",False
21,fIVbO9NLVHQX2ut5,{},0,"A broken sand skiff abandoned by the native lizardfolk nomads. They left behind 3 glass lenses to start fires, two spears, and half a barrel of water.",icons/svg/d20-black.svg,,1,"[22, 22]",False
22,MjyiTkqEGiHnSLkk,{},0,A pack of hyena can be seen chasing a wounded lioness. She runs to the party in desperation.,icons/svg/d20-black.svg,,1,"[23, 23]",False
23,xLCXHxcEZdNcYsjl,{},0,The dried and sun bleached bones of a dragon are being worshipped by a group of dragonborn. They are willing to trade as long as you are respectful.,icons/svg/d20-black.svg,,1,"[24, 24]",False
24,NZRI1KIxXbjYn68R,{},0,A bottled djinn is found in the skeletal remains of a human nomad and his pet monkey.,icons/svg/d20-black.svg,,1,"[25, 25]",False
25,MKlpqJ1GcRL6kcVx,{},0,"The party comes across a caravan of several camels carrying all kinds of goods, food and treasures, but there’s no one leading them. If the camels are stopped or the party tries to touch the goods, a group of humanoids with bodies made out of sand emerges from the dunes.",icons/svg/d20-black.svg,,1,"[26, 26]",False
26,X5gvnEs9Zg9KVfad,{},0,You come upon a cave in a dry lakebed. Ten preserved tritons in caked mud stasis are preserved inside from when this arid land once had water.,icons/svg/d20-black.svg,,1,"[27, 27]",False
