_id,flags,type,text,img,resultId,weight,range,drawn
0,FQk6rVf2H8MsqE27,{},0,[[2d4]] vine blights,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,DydvF6M8GRYi6whx,{},0,[[2d6]] hobgoblins or [[2d6]] orcs,icons/svg/d20-black.svg,,1,"[2, 2]",False
2,29zeeaw7oOLK4aP4,{},0,[[2d4]] apes or [[2d4]] satyrs,icons/svg/d20-black.svg,,1,"[3, 3]",False
3,ZS46hKOODjrXSwc3,{},0,[[1d3]] will-o'-wisps,icons/svg/d20-black.svg,,1,"[4, 4]",False
4,tT5XJS0UVTZZqExo,{},0,[[1d4]] swarms of poisonous snakes,icons/svg/d20-black.svg,,1,"[5, 5]",False
5,IWkHwyKcgbcYBt7E,{},0,1 orc Eye of Gruumsh with [[1d3]] orogs and [[1d8+2]] orcs,icons/svg/d20-black.svg,,1,"[6, 6]",False
6,B7KKpPyc5CYp33OM,{},0,[[1d3]] constrictor snakes or [[1d4]] tigers,icons/svg/d20-black.svg,,1,"[7, 7]",False
7,YrDreONy6G916RNn,{},0,1 goblin boss with [[3d6]] goblins,icons/svg/d20-black.svg,,1,"[8, 8]",False
8,uUVmU06bkxr583Ah,{},0,1 faerie dragon (any age),icons/svg/d20-black.svg,,1,"[9, 9]",False
9,dUhKyrbJoXODawh4,{},0,1 brown bear or [[1d6+2]] black bears,icons/svg/d20-black.svg,,1,"[10, 10]",False
10,557gwrsn6ttmNFaC,{},0,[[1d4]] giant boars,icons/svg/d20-black.svg,,3,"[11, 13]",False
11,EfgJQVyd6U17FQ5e,{},0,[[1d8+1]] giant spiders,icons/svg/d20-black.svg,,2,"[14, 15]",False
12,BbODmlMYIdSkuFgJ,{},0,1 lizardfolk shaman with [[2d4]] lizardfolk,icons/svg/d20-black.svg,,2,"[16, 17]",False
13,1xl4H0XfjQTbZ2yh,{},0,[[1d10]] giant toads,icons/svg/d20-black.svg,,1,"[18, 18]",False
14,pYxXFYxaCl4N4EtU,{},0,[[1d4]] ankhegs,icons/svg/d20-black.svg,,1,"[19, 19]",False
15,Ive4C53VsyyQHxrF,{},0,[[1d3]] awakened trees (day) or 1 banshee (night),icons/svg/d20-black.svg,,1,"[20, 20]",False
16,buZ8DJQJQZe8Hi7G,{},0,A small shack almost hidden by the deep forest. The interior is empty aside from a large cast-iron oven.,icons/svg/d20-black.svg,,5,"[21, 25]",False
17,7BYNGF1wcRmIo9ts,{},0,1 couatl,icons/svg/d20-black.svg,,1,"[26, 26]",False
18,sDMMcikkDkhqVHV7,{},0,[[1d4]] ogres or [[1d6+2]] half-ogres,icons/svg/d20-black.svg,,2,"[27, 28]",False
19,O5HS12o4akt4DbTN,{},0,1 gnoll pack lord with [[1d4+1]] giant hyenas,icons/svg/d20-black.svg,,2,"[29, 30]",False
20,Yuzo9R6Ga12rNv3v,{},0,[[1d6]] wererats,icons/svg/d20-black.svg,,2,"[31, 32]",False
21,YqWkpksZfLdhEFgx,{},0,[[1d4]] gricks,icons/svg/d20-black.svg,,1,"[33, 33]",False
22,N7iYGGeXgvF4vwdf,{},0,[[1d8+1]] yuan-ti purebloods,icons/svg/d20-black.svg,,1,"[34, 34]",False
23,jN4gfnP8NWVkMaML,{},0,[[1d6]] pegasi,icons/svg/d20-black.svg,,1,"[35, 35]",False
24,sVlfVIRoLE4nn3SY,{},0,An old stone archway of obvious elven design. Any character who passes under it makes Wisdom (Perception) checks with advantage for 1 hour.,icons/svg/d20-black.svg,,5,"[36, 40]",False
25,VRiYb2Yj3V5UUngG,{},0,[[1d6+2]] dryads,icons/svg/d20-black.svg,,2,"[41, 42]",False
26,j05dYCawD67aHXtV,{},0,[[1d4]] giant elk,icons/svg/d20-black.svg,,1,"[43, 43]",False
27,OH1Ajnv8aZXFT5Bi,{},0,[[1d8+1]] harpies,icons/svg/d20-black.svg,,1,"[44, 44]",False
28,SkYFC6oMN4SrRZHD,{},0,1 bandit captain with 1 druid and [[1d6+5]] bandits,icons/svg/d20-black.svg,,2,"[45, 46]",False
29,d9g6WOcSW14nmIZm,{},0,[[2d4]] dire wolves,icons/svg/d20-black.svg,,2,"[47, 48]",False
30,YtfxtCfhFtxyejqZ,{},0,[[2d4]] bugbears,icons/svg/d20-black.svg,,2,"[49, 50]",False
31,bAAY2MppFMH5mL4y,{},0,[[2d4]] centaurs,icons/svg/d20-black.svg,,2,"[51, 52]",False
