_id,flags,type,text,img,resultId,weight,range,drawn
0,yN6ZCyBxi0qW9oBR,{},0,[[1d3]] gorgons,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,5fR8FZsfbgeYJum8,{},0,[[1d4]] cyclopes,icons/svg/d20-black.svg,,1,"[2, 2]",False
2,Rhuy4a5c9TdNno1d,{},0,[[1d3]] gnoll fangs of Yeenoghu,icons/svg/d20-black.svg,,2,"[3, 4]",False
3,dmmRAXkt7feToec3,{},0,1 chimera,icons/svg/d20-black.svg,,2,"[5, 6]",False
4,WYO0OxK0t2HjJSva,{},0,[[1d4+1]] veterans on riding horses,icons/svg/d20-black.svg,,3,"[7, 9]",False
5,o3zTfoqSs2F7Xkcq,{},0,"A tornado that touches down 1d6 miles away, tearing up the land for 1 mile before it dissipates",icons/svg/d20-black.svg,,2,"[10, 11]",False
6,8eIjoZKZlshPRoB7,{},0,[[1d3]] manticores,icons/svg/d20-black.svg,,2,"[12, 13]",False
7,HX96mnlJyJknInMB,{},0,[[2d4]] ankhegs,icons/svg/d20-black.svg,,2,"[14, 15]",False
8,79S9MUeYqU7Pg2Gr,{},0,[[1d8+1]] centaurs,icons/svg/d20-black.svg,,2,"[16, 17]",False
9,DVL5CNrgZkIDUGSJ,{},0,[[1d6+2]] griffons,icons/svg/d20-black.svg,,2,"[18, 19]",False
10,gZHtqMh684Peuuar,{},0,[[1d6]] elephants,icons/svg/d20-black.svg,,2,"[20, 21]",False
11,qL3K94YZ2SZghTkP,{},0,"A stretch of land littered with rotting war machines, bones, and banners of forgotten armies",icons/svg/d20-black.svg,,3,"[22, 24]",False
12,G0hpMcolCp6dMP5Q,{},0,[[1d8+1]] bugbears,icons/svg/d20-black.svg,,4,"[25, 28]",False
13,ghxZYbyWiFcD3Qsz,{},0,1 gnoll pack lord with [[1d4+1]] giant hyenas,icons/svg/d20-black.svg,,4,"[29, 32]",False
14,wwSgqyoMDTg30hZo,{},0,[[2d4]] scarecrows,icons/svg/d20-black.svg,,4,"[33, 36]",False
15,9mzi96dZiiwGyelb,{},0,[[1d12]] lions,icons/svg/d20-black.svg,,4,"[37, 40]",False
16,Yq6y6Cd5b3Dlpqed,{},0,[[1d10]] thri-kreen,icons/svg/d20-black.svg,,4,"[41, 44]",False
17,JcQuwDffHnhXmJW1,{},0,1 allosaurus,icons/svg/d20-black.svg,,2,"[45, 46]",False
18,eqZvliwzCLr9Lyb0,{},0,1 tiger,icons/svg/d20-black.svg,,2,"[47, 48]",False
19,T6Y0FWKA7qLYdPXT,{},0,[[1d2]] giant eagles or [[1d2]] giant vultures,icons/svg/d20-black.svg,,2,"[49, 50]",False
20,HUmfPwWV8XsbozB7,{},0,1 goblin boss with [[2d4]] goblins,icons/svg/d20-black.svg,,2,"[51, 52]",False
21,w75ihccFBYL6Rrm2,{},0,[[1d2]] pegasi,icons/svg/d20-black.svg,,2,"[53, 54]",False
22,5PbX77eGe5GfBSFi,{},0,1 ankylosaurus,icons/svg/d20-black.svg,,4,"[55, 58]",False
23,zb6FQdeO2LRwDD4l,{},0,[[1d2]] couatls,icons/svg/d20-black.svg,,4,"[59, 62]",False
24,4mKk6wN2nnN0y1ac,{},0,1 orc Eye of Gruumsh with [[1d8+1]] orcs,icons/svg/d20-black.svg,,4,"[63, 66]",False
25,JJlV0gGteLxxkl3u,{},0,[[2d4]] hippogriffs,icons/svg/d20-black.svg,,4,"[67, 70]",False
26,xHmkUMdvbqZbP808,{},0,[[1d4+1]] rhinoceroses,icons/svg/d20-black.svg,,4,"[71, 74]",False
27,p0bt1oz2ykwr8jBP,{},0,1 hobgoblin captain with [[2d6]] hobgoblins,icons/svg/d20-black.svg,,2,"[75, 76]",False
28,FHgpShMJwqsYBfDp,{},0,[[1d3]] phase spiders,icons/svg/d20-black.svg,,2,"[77, 78]",False
29,AgqBzuVYTaowFQ1e,{},0,[[1d6+2]] giant boars,icons/svg/d20-black.svg,,2,"[79, 80]",False
30,d8c0HAnb34CJR1Sc,{},0,[[2d4]] giant elk,icons/svg/d20-black.svg,,2,"[81, 82]",False
31,3f1HHwtiaeb03iYR,{},0,[[1d4]] ogres with [[1d4]] orogs,icons/svg/d20-black.svg,,2,"[83, 84]",False
32,0RqO4nrWZ6lMX4eJ,{},0,A hot wind that carries the stench of rot,icons/svg/d20-black.svg,,3,"[85, 87]",False
33,9UPpTLLCvMhW7N75,{},0,[[1d3]] weretigers,icons/svg/d20-black.svg,,3,"[88, 90]",False
34,6q6dJCrxho5KVNGK,{},0,1 bulette,icons/svg/d20-black.svg,,2,"[91, 92]",False
35,RrxcY48rClvq9RL0,{},0,"A tribe of [[2d20+20]] nomads (tribal warriors) on riding horses following a herd of antelope (deer). The nomads are willing to trade food, leather, and information for weapons.",icons/svg/d20-black.svg,,2,"[93, 94]",False
36,V1U75vMr0rnaorOE,{},0,[[1d6+2]] wereboars,icons/svg/d20-black.svg,,2,"[95, 96]",False
37,mIFG0UE0mqO53wKu,{},0,1 young gold dragon,icons/svg/d20-black.svg,,1,"[97, 97]",False
38,aPJ02fyodyjesN8F,{},0,[[1d4]] triceratopses,icons/svg/d20-black.svg,,2,"[98, 99]",False
39,Sf6RbSCwjbIJgJs9,{},0,[[1d3]] tyrannosaurus rexes,icons/svg/d20-black.svg,,1,"[100, 100]",False
