_id,flags,type,text,img,resultId,weight,range,drawn
0,oBbWxdM0Nxp4T3JE,{},0,1 eagle,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,62QfbYxB9MivzQDu,{},0,[[2d4]] baboons,icons/svg/d20-black.svg,,2,"[2, 3]",False
2,ckzNTLcBOoXV3fLY,{},0,[[1d6]] bandits,icons/svg/d20-black.svg,,3,"[4, 6]",False
3,Nbm0bI3zqzNylnJo,{},0,[[1d4]] vultures,icons/svg/d20-black.svg,,1,"[7, 7]",False
4,sIzhn2iyO8lG8zDb,{},0,[[1d10]] commoners,icons/svg/d20-black.svg,,1,"[8, 8]",False
5,gpeOcmlwQZRIOinS,{},0,1 raven,icons/svg/d20-black.svg,,1,"[9, 9]",False
6,D2PRwD4FyNwjStKa,{},0,1 poisonous snake,icons/svg/d20-black.svg,,1,"[10, 10]",False
7,yWwTQC08zrG9xOJc,{},0,[[2d6]] bandits [[2d6]] tribal warriors,icons/svg/d20-black.svg,,3,"[11, 13]",False
8,rYPApF4SSeQfqjm4,{},0,[[2d8]] goats,icons/svg/d20-black.svg,,1,"[14, 14]",False
9,84H7NoEo5DUgkl2B,{},0,[[1d6+4]] blood hawks,icons/svg/d20-black.svg,,1,"[15, 15]",False
10,ALj0x1Z23KiNzzAW,{},0,[[1d4+3]] giant weasels,icons/svg/d20-black.svg,,1,"[16, 16]",False
11,dQoGp9rwamWIi15I,{},0,[[1d3]] guards with [[1d2]] mastiffs and 1 mule,icons/svg/d20-black.svg,,2,"[17, 18]",False
12,Mmiw3RiQuDyhv8zt,{},0,[[1d6+5]] hyenas,icons/svg/d20-black.svg,,2,"[19, 20]",False
13,75U5aQ1Ee5PVR2as,{},0,[[2d4]] stirges,icons/svg/d20-black.svg,,2,"[21, 22]",False
14,RUbMPPXz6kAoXXd2,{},0,An empty cave littered with bones,icons/svg/d20-black.svg,,3,"[23, 25]",False
15,JHcsnA1B8EvnA4TX,{},0,1 pseudodragon or [[1d3]] giant owls,icons/svg/d20-black.svg,,1,"[26, 26]",False
16,SrFR3OLLYqG192vs,{},0,1 lion or 1 cougar (panther),icons/svg/d20-black.svg,,1,"[27, 27]",False
17,wws7ILtnAl4JiiSl,{},0,[[2d8]] kobolds,icons/svg/d20-black.svg,,3,"[28, 30]",False
18,5PJHxePqGKNgwcw6,{},0,1 hippogriff,icons/svg/d20-black.svg,,1,"[31, 31]",False
19,LW3Nd4hrOdC8ssLH,{},0,[[2d4]] goblins,icons/svg/d20-black.svg,,3,"[32, 34]",False
20,fxjZf0w9YzvVvIDs,{},0,1 worg,icons/svg/d20-black.svg,,1,"[35, 35]",False
21,uuYVgfpnDlLoShMn,{},0,[[1d3]] swarms of bats or [[1d3]] swarms of ravens,icons/svg/d20-black.svg,,1,"[36, 36]",False
22,cp7LCxDeS1F45bWj,{},0,1 giant eagle,icons/svg/d20-black.svg,,1,"[37, 37]",False
23,n6ziRMt0GCtzuQld,{},0,"An old dwarf sitting on a stump, whittling a piece of wood",icons/svg/d20-black.svg,,3,"[38, 40]",False
24,DJx0lgOcwXwILMXR,{},0,[[1d4]] elk,icons/svg/d20-black.svg,,1,"[41, 41]",False
25,mSfZd7MxqPTqiy2d,{},0,[[1d4]] winged kobolds with [[1d6]] kobolds,icons/svg/d20-black.svg,,1,"[42, 42]",False
26,GRJPX1PC0ijvraqB,{},0,[[1d6+2]] giant wolf spiders,icons/svg/d20-black.svg,,1,"[43, 43]",False
27,LXBOQkoDmRxGkyst,{},0,[[2d4]] wolves,icons/svg/d20-black.svg,,2,"[44, 45]",False
28,MKg4hfJFGSaOoEjN,{},0,1 swarm of insects,icons/svg/d20-black.svg,,1,"[46, 46]",False
29,gHpyFioAAjW8G47F,{},0,[[1d8+1]] axe beaks,icons/svg/d20-black.svg,,1,"[47, 47]",False
30,F79p1sRKrOheKZ25,{},0,1 brown bear or [[1d3]] boars,icons/svg/d20-black.svg,,2,"[48, 49]",False
31,jHAHmYcdFUlicvns,{},0,1 scout,icons/svg/d20-black.svg,,1,"[50, 50]",False
32,uZodXp6dvDhzSRJN,{},0,1 ogre,icons/svg/d20-black.svg,,1,"[51, 51]",False
33,exix0DcAEeX9a9Ft,{},0,[[2d4]] gnolls,icons/svg/d20-black.svg,,2,"[52, 53]",False
34,fvm2xnCRI7Fhiq6H,{},0,1 giant elk,icons/svg/d20-black.svg,,1,"[54, 54]",False
35,rVAFlGfTs26gTcya,{},0,[[1d3+1]] harpies,icons/svg/d20-black.svg,,1,"[55, 55]",False
36,xeYirlODYMdEO4RX,{},0,1 werewolf,icons/svg/d20-black.svg,,1,"[56, 56]",False
37,k5RLujSoutPsa0k9,{},0,[[2d4]] orcs,icons/svg/d20-black.svg,,2,"[57, 58]",False
38,7Rd022duaaXWSee1,{},0,[[1d4]] half-ogres,icons/svg/d20-black.svg,,1,"[59, 59]",False
39,zcCJeeYqxogKzZxw,{},0,1 druid or 1 veteran,icons/svg/d20-black.svg,,1,"[60, 60]",False
40,4AmAefM74kMTnReO,{},0,The corpse of an adventurer that carries an intact explorer's pack and lies atop a longsword,icons/svg/d20-black.svg,,3,"[61, 63]",False
41,uGU6Lmqj67DxqkOp,{},0,1 green hag,icons/svg/d20-black.svg,,1,"[64, 64]",False
42,adynhzJIqPWlC5fM,{},0,[[1d3]] dire wolves,icons/svg/d20-black.svg,,2,"[65, 66]",False
43,WSbrVAGrY0yltcFp,{},0,A small cemetery containing [[2d6]] graves,icons/svg/d20-black.svg,,2,"[67, 68]",False
44,b9k2YMwBvo5HIDdm,{},0,1 hobgoblin captain with [[2d4]] hobgoblins,icons/svg/d20-black.svg,,2,"[69, 70]",False
45,NKgZaypActqSfdap,{},0,[[2d4]] giant goats,icons/svg/d20-black.svg,,1,"[71, 71]",False
46,PicUId2Tc6DeRAEe,{},0,1 manticore,icons/svg/d20-black.svg,,1,"[72, 72]",False
47,TC0ze6ms9FulGREc,{},0,[[1d6+2]] hobgoblins,icons/svg/d20-black.svg,,2,"[73, 74]",False
48,0xfXmTH49vrdcOhh,{},0,1 phase spider,icons/svg/d20-black.svg,,1,"[75, 75]",False
49,H6tUG2h0QhgUzSHi,{},0,A pile of droppings from a very large bird,icons/svg/d20-black.svg,,3,"[76, 78]",False
50,VXFOWNQHvvq8Ht4z,{},0,1 gnoll fang of Yeenoghu,icons/svg/d20-black.svg,,1,"[79, 79]",False
51,4PH9Etltcnns8XgJ,{},0,[[1d3]] giant boars,icons/svg/d20-black.svg,,1,"[80, 80]",False
52,1uCRBlsbygik3NTE,{},0,1 gnoll pack lord with [[1d3]] giant hyenas,icons/svg/d20-black.svg,,1,"[81, 81]",False
53,aDYTb2jJwV2vYmFM,{},0,1 bandit captain with [[2d4]] bandits,icons/svg/d20-black.svg,,1,"[82, 82]",False
54,QeE5kp5YIcONka3l,{},0,1 orc Eye of Gruumsh with [[1d8+2]] orcs,icons/svg/d20-black.svg,,1,"[83, 83]",False
55,bX3wTOwTPoHOWFEp,{},0,[[1d3]] orogs or [[1d4]] berserkers,icons/svg/d20-black.svg,,1,"[84, 84]",False
56,GWLEDMRsLhBAYM8U,{},0,1 ettin or 1 wereboar,icons/svg/d20-black.svg,,2,"[85, 86]",False
57,XykxfAxQN4CwwhNP,{},0,1 goblin boss with [[2d6]] goblins,icons/svg/d20-black.svg,,2,"[87, 88]",False
