_id,flags,type,text,img,resultId,weight,range,drawn
0,TcUhpbMmhXTrTRou,{},0,[[1d2]] rocs,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,pwn3Sp0ci2PzVXba,{},0,1 young red dragon,icons/svg/d20-black.svg,,4,"[2, 5]",False
2,LrQh3GtQ8raRx8sc,{},0,[[2d6]] ettins,icons/svg/d20-black.svg,,5,"[6, 10]",False
3,s5vMjzZEiRmnKMuk,{},0,[[1d4]] bulettes,icons/svg/d20-black.svg,,5,"[11, 15]",False
4,IYpO7zeDhUJjKgYN,{},0,[[1d10]] revenants,icons/svg/d20-black.svg,,5,"[16, 20]",False
5,N4uLFGHqOPM62Bt6,{},0,The white outline of an enormous horse carved into the side of a high hill,icons/svg/d20-black.svg,,5,"[21, 25]",False
6,FGJKD7EUFzpX8qxb,{},0,[[1d6+1]] gorgons,icons/svg/d20-black.svg,,5,"[26, 30]",False
7,gsexYuem475JPElT,{},0,[[2d4+1]] trolls,icons/svg/d20-black.svg,,5,"[31, 35]",False
8,xAgH4mqOnfBvfOrR,{},0,The scorched remains of [[2d10]] humanoids littering a hillside,icons/svg/d20-black.svg,,5,"[36, 40]",False
9,g9ISjDeRW59kefWK,{},0,[[2d4]] hill giants,icons/svg/d20-black.svg,,5,"[41, 45]",False
10,ExeRGTErKz4gNG6Z,{},0,[[1d6+2]] werebears,icons/svg/d20-black.svg,,5,"[46, 50]",False
11,Q587rDmtjkTNyqD8,{},0,[[2d4]] galeb duhr,icons/svg/d20-black.svg,,5,"[51, 55]",False
12,3NnHC1SFavgjXZV0,{},0,[[1d4+2]] wyverns,icons/svg/d20-black.svg,,5,"[56, 60]",False
13,3NUXRMJOCr3Ckxvz,{},0,A massive boulder partly buried in the earth as if it fell or was thrown there,icons/svg/d20-black.svg,,5,"[61, 65]",False
14,wKQAGcN65puSXLkP,{},0,1 adult copper dragon,icons/svg/d20-black.svg,,5,"[66, 70]",False
15,ySDCydTsZeSHlzzE,{},0,[[1d6+3]] cyclopes,icons/svg/d20-black.svg,,5,"[71, 75]",False
16,vb0F7S6owa3Me2fV,{},0,The stub of an old stone tower jutting from the top of a hill,icons/svg/d20-black.svg,,5,"[76, 80]",False
17,rlQQEQfiYSwV1Pc4,{},0,[[2d4]] stone giants,icons/svg/d20-black.svg,,5,"[81, 85]",False
18,rzh3Ww2Vf7yTCZLN,{},0,1 adult red dragon,icons/svg/d20-black.svg,,5,"[86, 90]",False
19,hBmmeb1YKClz8M0H,{},0,1 ancient copper dragon,icons/svg/d20-black.svg,,6,"[91, 96]",False
20,KpryOnIWwpWb9gIW,{},0,1 ancient red dragon,icons/svg/d20-black.svg,,3,"[97, 99]",False
21,NK5LE4N75qBaROw3,{},0,[[1d2]] adult red dragons with [[1d3]] young red dragons,icons/svg/d20-black.svg,,1,"[100, 100]",False
