_id,flags,type,text,img,resultId,weight,range,drawn
0,mjaci8OMPADhbzq1,{},0,[[1d4]] pegasi or [[1d3]] perytons,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,QDQXwaKT52OBWoJc,{},0,[[1d6+2]] giant goats,icons/svg/d20-black.svg,,1,"[2, 2]",False
2,yxesISiRfV5PHAMb,{},0,1 manticore,icons/svg/d20-black.svg,,1,"[3, 3]",False
3,rvXJ72K5uFAUHRL5,{},0,[[1d8+1]] gnolls or [[1d8+1]] hobgoblins,icons/svg/d20-black.svg,,1,"[4, 4]",False
4,0NAIJA8poVrqR2vv,{},0,[[1d4]] lions,icons/svg/d20-black.svg,,1,"[5, 5]",False
5,EwIOckOuF6SnMV44,{},0,[[1d6+2]] worgs,icons/svg/d20-black.svg,,1,"[6, 6]",False
6,BZ59JdtIOWM6w0oH,{},0,[[1d4]] brown bears,icons/svg/d20-black.svg,,1,"[7, 7]",False
7,00PeSxjl6MgxDSN7,{},0,[[3d6]] axe beaks,icons/svg/d20-black.svg,,1,"[8, 8]",False
8,squq0dpDF9eDug0k,{},0,1 half-ogre with [[2d6]] orcs,icons/svg/d20-black.svg,,1,"[9, 9]",False
9,nImqkXRt1za8Z0Fp,{},0,[[2d10]] winged kobolds,icons/svg/d20-black.svg,,1,"[10, 10]",False
10,1ad6aHBJFnjdfjES,{},0,1 goblin boss with [[1d4]] dire wolves and [[2d6]] goblins,icons/svg/d20-black.svg,,2,"[11, 12]",False
11,M2UNki3hzheLA8WZ,{},0,[[1d6]] giant elk,icons/svg/d20-black.svg,,1,"[13, 13]",False
12,TKmUXqpHtXvPD5hC,{},0,[[1d8+1]] giant eagles,icons/svg/d20-black.svg,,2,"[14, 15]",False
13,GQbw4buBtASOQXD5,{},0,[[1d4]] phase spiders,icons/svg/d20-black.svg,,2,"[16, 17]",False
14,RwjZRX9t5ddt6IJW,{},0,1 gnoll pack lord with [[2d4]] giant hyenas,icons/svg/d20-black.svg,,2,"[18, 19]",False
15,14RWjcKEdladEtEi,{},0,[[2d4]] hippogriffs,icons/svg/d20-black.svg,,1,"[20, 20]",False
16,H8RwR4An4CIyUyNC,{},0,A 15-foot-tall stone statue of a dwarf warrior that has been tipped over on its side,icons/svg/d20-black.svg,,5,"[21, 25]",False
17,RcxQBQRR1GBMS6NP,{},0,[[2d4]] orogs,icons/svg/d20-black.svg,,2,"[26, 27]",False
18,RqhfSdkOnFe94ANx,{},0,[[1d4+1]] griffons,icons/svg/d20-black.svg,,2,"[28, 29]",False
19,F125LS6cLs73ebQC,{},0,[[1d6+2]] harpies,icons/svg/d20-black.svg,,2,"[30, 31]",False
20,kO0i2xJc04LtIPUP,{},0,1 orc Eye of Gruumsh with [[2d6+3]] orcs,icons/svg/d20-black.svg,,2,"[32, 33]",False
21,p29GUFB9mJHI6tnX,{},0,[[1d4+3]] giant boars,icons/svg/d20-black.svg,,2,"[34, 35]",False
22,GJMZhWhYhrGUBGL8,{},0,"A stone door set into the side of a steep hill, opening onto 15 feet of descending stairs that end at a cave-in",icons/svg/d20-black.svg,,5,"[36, 40]",False
23,Uo9VtFfoUpLMwXg7,{},0,[[1d3]] green hags,icons/svg/d20-black.svg,,2,"[41, 42]",False
24,XMeln1YNTzsTfazU,{},0,[[1d4]] werewolves,icons/svg/d20-black.svg,,2,"[43, 44]",False
25,dTyFPbGADWbFBaTc,{},0,[[1d6+2]] ogres,icons/svg/d20-black.svg,,2,"[45, 46]",False
26,tgTt5CBmRk6KVYEb,{},0,1 hobgoblin captain with [[2d8]] hobgoblins,icons/svg/d20-black.svg,,2,"[47, 48]",False
27,Y9yJBnnppVXGjCMz,{},0,1 bandit captain with [[3d6]] bandits,icons/svg/d20-black.svg,,2,"[49, 50]",False
28,8FpN90BqhXhXFQhN,{},0,1 chimera,icons/svg/d20-black.svg,,4,"[51, 54]",False
29,viVFgilIMHVa6gY6,{},0,[[1d4]] ettins,icons/svg/d20-black.svg,,4,"[55, 58]",False
30,oyDLkRtCXycZvzDw,{},0,[[1d6+2]] veterans with [[2d6]] berserkers,icons/svg/d20-black.svg,,4,"[59, 62]",False
31,vrcYMrBjmpjJpfEO,{},0,An abandoned wooden hut,icons/svg/d20-black.svg,,3,"[63, 65]",False
32,dvyVtYLIZCGv0R3M,{},0,1 galeb duhr,icons/svg/d20-black.svg,,4,"[66, 69]",False
33,oWewba4zhf5MOemX,{},0,1 bulette,icons/svg/d20-black.svg,,4,"[70, 73]",False
34,iUR6WONjlLxFv9Se,{},0,1 wyvern,icons/svg/d20-black.svg,,4,"[74, 77]",False
35,KpRs4VzHJUjotgQq,{},0,[[2d6+10]] goats with 1 herder (tribal warrior),icons/svg/d20-black.svg,,3,"[78, 80]",False
36,tnbuGVRCQvdQN9za,{},0,[[1d3]] hill giants,icons/svg/d20-black.svg,,2,"[81, 82]",False
37,1tsDUj9oSPd6lGKC,{},0,[[2d4]] wereboars,icons/svg/d20-black.svg,,2,"[83, 84]",False
38,Uxo7obyin5e1f4L1,{},0,[[1d4]] revenants,icons/svg/d20-black.svg,,2,"[85, 86]",False
39,z2vr2H7BxQlhmZ5X,{},0,[[1d2]] gorgons,icons/svg/d20-black.svg,,2,"[87, 88]",False
40,uReyVfHk6arGnH7p,{},0,[[1d8+1]] gnoll fangs of Yeenoghu,icons/svg/d20-black.svg,,2,"[89, 90]",False
41,vwsKZzyZrOdNkNSG,{},0,[[1d4]] cyclopes,icons/svg/d20-black.svg,,3,"[91, 93]",False
42,3veXKGgn6PdOJApM,{},0,1 young red dragon,icons/svg/d20-black.svg,,3,"[94, 96]",False
43,u9ELVYgtJnH9cLwV,{},0,[[1d4]] stone giants,icons/svg/d20-black.svg,,2,"[97, 98]",False
44,jW0vA88trQzkZ2Bj,{},0,[[1d3]] young copper dragons,icons/svg/d20-black.svg,,1,"[99, 99]",False
45,CBYF8OhijzulZaKy,{},0,1 roc,icons/svg/d20-black.svg,,1,"[100, 100]",False
