_id,flags,type,text,img,resultId,weight,range,drawn
0,YfD2bhqMSOjMnYrt,{},0,[[1d10]] bulettes,icons/svg/d20-black.svg,,5,"[1, 5]",False
1,HIey4FAURvOPp9wT,{},0,[[1d8+1]] chimeras,icons/svg/d20-black.svg,,5,"[6, 10]",False
2,XYHaUy3a4wVLFiwT,{},0,1 adult silver dragon,icons/svg/d20-black.svg,,5,"[11, 15]",False
3,ej8DDFMaEJ2KcOII,{},0,[[1d8+1]] wyverns,icons/svg/d20-black.svg,,5,"[16, 20]",False
4,n2A5FH9dsEem1ijb,{},0,A massive boat perched atop a mountain,icons/svg/d20-black.svg,,5,"[21, 25]",False
5,cl21pOp85wT157Xg,{},0,[[2d4]] galeb duhr,icons/svg/d20-black.svg,,5,"[26, 30]",False
6,1YpIo1WRAvLZg54u,{},0,[[1d4]] frost giants,icons/svg/d20-black.svg,,5,"[31, 35]",False
7,snJqf6ObY6g7vqTK,{},0,A wooded valley haunted by secretive and reclusive elves who tell warily of their master: a mad wizard who lives in the heart of the valley,icons/svg/d20-black.svg,,5,"[36, 40]",False
8,TiZjpdm3lWjPVr12,{},0,[[1d10]] air elementals,icons/svg/d20-black.svg,,5,"[41, 45]",False
9,rb2wzMg0mtLBbPGG,{},0,[[1d6+3]] trolls,icons/svg/d20-black.svg,,5,"[46, 50]",False
10,8U3wrRHpNU1WeU6b,{},0,1 adult red dragon,icons/svg/d20-black.svg,,5,"[51, 55]",False
11,jhaQZksg89B9dCWz,{},0,[[1d4]] cloud giants,icons/svg/d20-black.svg,,5,"[56, 60]",False
12,oNRo3x6og537rHUM,{},0,A waterfall hundreds of feet high that drops into a clear pool,icons/svg/d20-black.svg,,5,"[61, 65]",False
13,qIzhFZHgYHUv1P9i,{},0,[[1d3]] fire giants,icons/svg/d20-black.svg,,5,"[66, 70]",False
14,QPh9ToPoKCQpB2JD,{},0,[[2d4]] stone giants,icons/svg/d20-black.svg,,5,"[71, 75]",False
15,fr19CJLS8lHvxz8Z,{},0,"A force of 100 dwarves (veterans) standing guard at a mountain pass, permitting no passage until a traveler pays 100 gp (if on foot) or 200 gp (if mounted)",icons/svg/d20-black.svg,,5,"[76, 80]",False
16,gTBfTex7aj2lJTDc,{},0,[[1d4]] rocs,icons/svg/d20-black.svg,,5,"[81, 85]",False
17,xyRCJtlBLSwp4ofX,{},0,[[1d4]] young red dragons,icons/svg/d20-black.svg,,5,"[86, 90]",False
18,PoBGZ53fxduBq7XK,{},0,1 ancient silver dragon,icons/svg/d20-black.svg,,6,"[91, 96]",False
19,i5zkCqv1D29XrdtN,{},0,1 ancient red dragon,icons/svg/d20-black.svg,,4,"[97, 100]",False
