_id,flags,type,text,img,resultId,weight,range,drawn
0,TYqjHgkv7srDo6hN,{},0,[[2d8+1]] aarakocra,icons/svg/d20-black.svg,,2,"[1, 2]",False
1,rJuAF7yvinkxJ8aO,{},0,1 lion or 1 saber-toothed tiger,icons/svg/d20-black.svg,,2,"[3, 4]",False
2,Nw4yRqAsHHfu4Znr,{},0,[[1d8+1]] giant goats,icons/svg/d20-black.svg,,2,"[5, 6]",False
3,lOMYWv2z5P4WZ3um,{},0,[[1d4+3]] dwarf trailblazers (scouts),icons/svg/d20-black.svg,,2,"[7, 8]",False
4,ljovS4bFowHdCgNR,{},0,[[1d6+2]] orcs,icons/svg/d20-black.svg,,2,"[9, 10]",False
5,biqBUV2xbWGLgCVd,{},0,[[1d10]] giant eagles,icons/svg/d20-black.svg,,5,"[11, 15]",False
6,Trrv3sGG8jQGnnCY,{},0,[[1d8+1]] hippogriffs,icons/svg/d20-black.svg,,5,"[16, 20]",False
7,MeTKdik4mGo9pppT,{},0,[[1d8]] fissures venting steam that partially obscures a 20-foot cube above each fissure,icons/svg/d20-black.svg,,5,"[21, 25]",False
8,ygMso3AguU0WKwEq,{},0,1 basilisk,icons/svg/d20-black.svg,,5,"[26, 30]",False
9,yJEusa3tRbMbpkWZ,{},0,[[1d12]] half-ogres,icons/svg/d20-black.svg,,5,"[31, 35]",False
10,HSce4OquJ1HgUtu0,{},0,"A ravine blocked by a 100-foot-high wall, which has an opening in the center where a gate used to be",icons/svg/d20-black.svg,,5,"[36, 40]",False
11,A4XAzX8s7i9GkgXM,{},0,1 manticore,icons/svg/d20-black.svg,,5,"[41, 45]",False
12,nz37ubT2aQXsNgpi,{},0,[[2d4]] harpies,icons/svg/d20-black.svg,,5,"[46, 50]",False
13,1l7gc6jxdEmdTJZ5,{},0,1 galeb duhr,icons/svg/d20-black.svg,,2,"[51, 52]",False
14,pyL8NZWtLJki8L0y,{},0,1 bulette,icons/svg/d20-black.svg,,2,"[53, 54]",False
15,DOb7h7n0rSmljidQ,{},0,[[1d10]] berserkers,icons/svg/d20-black.svg,,2,"[55, 56]",False
16,2UuzkB1dqOPNDKse,{},0,[[1d3]] hell hounds,icons/svg/d20-black.svg,,2,"[57, 58]",False
17,JTghLOi3HqBGpGCD,{},0,[[1d8+1]] veterans,icons/svg/d20-black.svg,,2,"[59, 60]",False
18,jtt62yafYIEgfFv9,{},0,A distant mountain whose peak resembles a tooth,icons/svg/d20-black.svg,,5,"[61, 65]",False
19,WhjQcfRniRauvt0q,{},0,[[1d4]] ettins,icons/svg/d20-black.svg,,4,"[66, 69]",False
20,Qe784sdZpxLSzAZb,{},0,1 wyvern,icons/svg/d20-black.svg,,4,"[70, 73]",False
21,pbbYtNsHQAWyw1ti,{},0,1 orc Eye of Gruumsh with [[1d6]] orogs and [[3d6+10]] orcs,icons/svg/d20-black.svg,,2,"[74, 75]",False
22,qZlvcHiceHW7pk0A,{},0,"A row of [[1d10+40]] stakes upon which the bodies of kobolds, dwarves, or orcs are impaled",icons/svg/d20-black.svg,,5,"[76, 80]",False
23,ekHy6IdZvBS4S6oX,{},0,1 fire giant,icons/svg/d20-black.svg,,3,"[81, 83]",False
24,aCf4TCcGXs8y2Gh4,{},0,1 young silver dragon,icons/svg/d20-black.svg,,2,"[84, 85]",False
25,yzam4xGKwSuRCS6f,{},0,[[1d4]] air elementals,icons/svg/d20-black.svg,,2,"[86, 87]",False
26,gADiZADM6ql3esrl,{},0,[[1d4]] trolls,icons/svg/d20-black.svg,,3,"[88, 90]",False
27,v5w7PwwlDbU0jfnf,{},0,[[1d3+1]] cyclopes,icons/svg/d20-black.svg,,2,"[91, 92]",False
28,NYe1tIgmOn2OUgjo,{},0,[[1d4]] chimeras,icons/svg/d20-black.svg,,2,"[93, 94]",False
29,V788fTB8ulLTzzsj,{},0,1 cloud giant,icons/svg/d20-black.svg,,2,"[95, 96]",False
30,hPCHPQMJuQq5Zvnf,{},0,1 roc,icons/svg/d20-black.svg,,1,"[97, 97]",False
31,uCv1rfds0dR8joKV,{},0,[[1d4]] stone giants,icons/svg/d20-black.svg,,1,"[98, 98]",False
32,hUvQe4tvvwJe49FQ,{},0,1 young red dragon,icons/svg/d20-black.svg,,1,"[99, 99]",False
33,bDMAfwMskaLMJIFk,{},0,[[1d4]] frost giants,icons/svg/d20-black.svg,,1,"[100, 100]",False
