_id,flags,type,text,weight,range,drawn
0,asBPwwBylaEZGVA5,{},0,AarakocraDex +2; Wis +1MediumEEPC,1,"[1, 1]",False
1,WmLY5MHjxE2jybe1,{},0,AasimarCha +2; Wis +1MediumDMG,1,"[2, 2]",False
2,DHYWawSbXPMfFAmX,{},0,AasimarCha +2MediumVGM,1,"[3, 3]",False
3,eWlNp5eoChVXHHHy,{},0,Aasimar (Fallen)Cha +2; Str +1MediumVGM,1,"[4, 4]",False
4,RaPNXVMbezvQeIDR,{},0,Aasimar (Protector)Cha +2; Wis +1MediumVGM,1,"[5, 5]",False
5,cKyiab1zEKYhXa96,{},0,Aasimar (Scourge)Cha +2; Con +1MediumVGM,1,"[6, 6]",False
6,jKPEKmhBxDp7VpvO,{},0,BugbearStr +2; Dex +1MediumERLW,1,"[7, 7]",False
7,wtDw46osBr9oo41A,{},0,BugbearStr +2; Dex +1MediumVGM,1,"[8, 8]",False
8,hkjIVNRa4mAk3zdD,{},0,CentaurStr +2; Wis +1MediumGGR,1,"[9, 9]",False
9,fPS5QuhBAnBsTw4y,{},0,CentaurStr +2; Wis +1MediumMOT,1,"[10, 10]",False
10,3n9dMtjGjXW6nb8A,{},0,ChangelingCha +2; Any other +1MediumERLW,1,"[11, 11]",False
11,3mu5CAbzsqjJBH4H,{},0,Custom LineageAny +2VariesTCE,1,"[12, 12]",False
12,zoDmnshdzQqWhRG2,{},0,DragonbornStr +2; Cha +1MediumPHB,1,"[13, 13]",False
13,uLQNIZVbfS4sv1LG,{},0,Dragonborn (Base)Str +2; Cha +1MediumPHB,1,"[14, 14]",False
14,PxBVG6CN6E9w0wCI,{},0,Dragonborn (Draconblood)Int +2; Cha +1MediumEGW,1,"[15, 15]",False
15,rKGxMVAfa02mnSMM,{},0,Dragonborn (Ravenite)Str +2; Con +1MediumEGW,1,"[16, 16]",False
16,SKc3re9bFy8VZ51a,{},0,DwarfCon +2MediumPHB,1,"[17, 17]",False
17,Iq2TGNVj6owOOohI,{},0,Dwarf (Duergar)Con +2; Str +1MediumMTF,1,"[18, 18]",False
18,Xgv1AnNmtX4cwmA4,{},0,Dwarf (Hill)Con +2; Wis +1MediumPHB,1,"[19, 19]",False
19,uTiDRCwbyjaV5KJJ,{},0,Dwarf (Mark of Warding)Con +2; Int +1MediumERLW,1,"[20, 20]",False
