_id,flags,type,text,img,resultId,weight,range,drawn
qEqJO9xdBsu2YWvU,{},0,1 storm giant,icons/svg/d20-black.svg,,3,"[1, 3]",False
c1NfsiyjVGePeeBW,{},0,[[2d6]] giant sharks,icons/svg/d20-black.svg,,4,"[4, 7]",False
bNclLUDNeyK3X07n,{},0,1 marid,icons/svg/d20-black.svg,,4,"[8, 11]",False
9YZGM711VoCJ1xWk,{},0,1 sahuagin high priestess and [[2d4]] sahuagin champions (see appendix C for both),icons/svg/d20-black.svg,,7,"[12, 18]",False
SeoFgCrjhhI4FRaS,{},0,1 sahuagin baron and [[1d4]] sahuagin blademasters (see appendix C),icons/svg/d20-black.svg,,7,"[19, 25]",False
Blc3V9be4Xa9eY3J,{},0,[[3d6]] reef sharks,icons/svg/d20-black.svg,,3,"[26, 28]",False
vOb6fraj7GK7KEQ5,{},0,[[2d6]] hunter sharks,icons/svg/d20-black.svg,,4,"[29, 32]",False
kXMpUBXHST5eTyw9,{},1,Whirlpool,icons/svg/daze.svg,Macro,61FUIw9pfM2KPXQb,7,"[33, 43]",False
oWweqSXZuj48pisg,{},0,[[1d3]] hydras,icons/svg/d20-black.svg,,2,"[44, 45]",False
5tlB9EqR5wPKKT5f,{},0,[[1d4]] koalinth sergeant (see appendix C) and [[3d10]] koalinth (see appendix C),icons/svg/d20-black.svg,,3,"[46, 48]",False
VFfbC3qrHjyEnMkw,{},0,[[2d4]] plesiosauruses,icons/svg/d20-black.svg,,2,"[49, 50]",False
sET7wZUf4CqgviuA,{},0,[[3d6]] merrow,icons/svg/d20-black.svg,,3,"[51, 53]",False
cky9B1HzeO0oj3yA,{},0,1 harpy matriarch (see appendix C) and [[2d8]] harpies,icons/svg/d20-black.svg,,4,"[54, 57]",False
UZnJdvXnxPBEbNYP,{},0,A coven of 3 sea hags,icons/svg/d20-black.svg,,3,"[58, 60]",False
IhWD6IPtbyyHOFPj,{},0,1 dragon turtle,icons/svg/d20-black.svg,,3,"[61, 63]",False
WMUmM92a1iiKCoyD,{},0,"<p>DRAGON</p> <p>AGE</p> <p>[[1d3]] (Young, Adult, Ancient)</p> <p>TYPE</p> <p>[[1d2]] (Bronze, Blue)</p>",icons/svg/d20-black.svg,,1,"[64, 64]",False
DRf64fji0MDDwBxY,{},1,Random Ship,icons/svg/dice-target.svg,Macro,ltWSLq3zK32IfBE7,25,"[65, 75]",False
j8sMCNES8fIUXbwS,{},1,Mysterious Island,icons/svg/dice-target.svg,Macro,X8Jvn74KIMtD0Ogq,25,"[76, 100]",False
