_id,flags,type,text,img,resultId,weight,range,drawn
0,aKkQfM65l0UnaHYX,{},0,"Suzail, The Dragonmere",icons/svg/d20-black.svg,,1,"[1, 1]",False
1,9290uOhDFghbXyb6,{},0,"Maresmber, The Dragonmere",icons/svg/d20-black.svg,,1,"[2, 2]",False
2,paQgI8NLt1n9bTLS,{},0,"Urmlaspyr, Sembia",icons/svg/d20-black.svg,,1,"[3, 3]",False
3,WBg4RRAP4rd9WNm1,{},0,"Saerloon, Sembia",icons/svg/d20-black.svg,,1,"[4, 4]",False
4,Igbt1u36yUbY5q0p,{},0,"Selgaunt, Sembia",icons/svg/d20-black.svg,,1,"[5, 5]",False
5,vGGCABzRthfqbkau,{},0,"Yhaunn, The Dragon Reach",icons/svg/d20-black.svg,,1,"[6, 6]",False
6,sdb2z9eYyD1kmG0S,{},0,"Scardale, The Dragon Reach",icons/svg/d20-black.svg,,1,"[7, 7]",False
7,GdM8y8iGJ5XHN51K,{},0,"Harrowdale, The Dragon Reach",icons/svg/d20-black.svg,,1,"[8, 8]",False
8,YYxT9UMcQgqgaVXP,{},0,"Elmwood, Moonsea",icons/svg/d20-black.svg,,1,"[9, 9]",False
9,I9gC6JsWVlx3g3OC,{},0,"Bell in the Deep, Moonsea",icons/svg/d20-black.svg,,1,"[10, 10]",False
10,Lny5CNXRJ7ibtcJI,{},0,"Hillsfar, Moonsea",icons/svg/d20-black.svg,,1,"[11, 11]",False
11,XlEl3AJz9KHLtbGF,{},0,"Yulash, Moonsea",icons/svg/d20-black.svg,,1,"[12, 12]",False
12,gYPfXakTQkUiuW2w,{},0,"Zhentil Keep, Moonsea",icons/svg/d20-black.svg,,1,"[13, 13]",False
13,m1PEFRHg9tuykIwc,{},0,"Phlan, Moonsea",icons/svg/d20-black.svg,,1,"[14, 14]",False
14,GKd7UnSCENrTZulT,{},0,"Melvaunt, Moonsea",icons/svg/d20-black.svg,,1,"[15, 15]",False
15,lVR3I0xrIMfj8iTD,{},0,"Thentia, Moonsea",icons/svg/d20-black.svg,,1,"[16, 16]",False
16,2Wl6cd15RC9ME3Bv,{},0,"Hulburn, Moonsea",icons/svg/d20-black.svg,,1,"[17, 17]",False
17,MDaA3iOxfsrtunaU,{},0,"Mulmaster, The Dragon Reach",icons/svg/d20-black.svg,,1,"[18, 18]",False
18,7mPNl0BxyoA3y6lX,{},0,"Ylraphon, The Dragon Reach",icons/svg/d20-black.svg,,1,"[19, 19]",False
19,zIMAxRZyIWvGRaUR,{},0,"Calaunt, The Dragon Reach",icons/svg/d20-black.svg,,1,"[20, 20]",False
20,3bx1uHhdzenyUeB6,{},0,"Tantras, The Dragon Reach",icons/svg/d20-black.svg,,1,"[21, 21]",False
21,aIqb0oKXZAFGtw4S,{},0,"Raven's Bluff, The Dragon Reach",icons/svg/d20-black.svg,,1,"[22, 22]",False
22,8O6oMgPixc2WfxTU,{},0,"Procmpur, The Dragon Reach",icons/svg/d20-black.svg,,1,"[23, 23]",False
23,3qVHbaHYcXtOj0B1,{},0,"Lyrabar, Impiltur",icons/svg/d20-black.svg,,1,"[24, 24]",False
