_id,flags,type,text,weight,range,drawn
0,MsoR13BOnaOtzRVi,{},0,"An obelisk rises from the muck and slime. It's white and beautiful. If and offering is laid here, a Black Dog will guide you through the swamp at night.",1,"[1, 1]",False
1,266d74Ip1v7mhCdh,{},0,"A smoke demon is imprisoned in a cigarette, which is put in a random pack, which is found on whatever corpse the party searches next.",1,"[2, 2]",False
2,Aje5uuJ61KZOMc4T,{},0,A pack of cigarettes floats up to you. Followed by various other bits of wreckage. If followed it leads to a burning town filled with corpses.,1,"[3, 3]",False
3,XI78CjCiw1XKBL55,{},0,"Cloaked creature made of bees mans a rowboat and will offer passage to anywhere, as long as you're undead. He offers to make you undead if you're not already.",1,"[4, 4]",False
4,nIsDmlTQwq8g8G4O,{},0,Pack of Hyenas led by a black imp. The hyenas are all polymorphed children and think it's fun to cause havoc.,1,"[5, 5]",False
5,Y4awNUnGDg8c624X,{},0,Swamp Dryads fight over the most attractive player. They will drown them if they can't reach a consensus.,1,"[6, 6]",False
6,u9JMaHFDgqok9ip6,{},0,The party encounters a very confused remorhaz trying to burrow into the ground desperately. It will rush to attack.,1,"[7, 7]",False
7,oBpHgU35At2Ae4lc,{},0,Hundreds of downed hot air balloons with no people around.,1,"[8, 8]",False
8,iRmZ4Ff8ZYYLYAFa,{},0,A sink hole. It looks like a drain plug has been pulled in the swamp and it will suck you in unless you do something about it.,1,"[9, 9]",False
9,5trQxYtu9ylA4suq,{},0,Burning caravan. A band of troops in black watch it burn with smiles on their faces.,1,"[10, 10]",False
10,s860lAH52ZcqdqbZ,{},0,Leafless trees hold evil spirits and cast oddly shaped shadows that sink into your shadow to control you.,1,"[11, 11]",False
11,xAmRU6NreKqChi3B,{},0,A sprung trap. No one has been caught in it and the footprints are fresh.,1,"[12, 12]",False
12,84Yl8dawlSfuEJx6,{},0,"[[1d5+1]] women sinking in the mud, calling for help.",1,"[13, 13]",False
13,RD7Vnjt652fO0AL8,{},0,"Explosive runes inscribed on crocodiles (or alligators, I don't know the difference). They rush you and clamp down on your leg and try to tear it off before they explode.",1,"[14, 14]",False
14,BCZ3qDD5hk8IBlre,{},0,A wand of wonder is found clutched in the hand of a dead paladin. It has [[1d4]] charge(s) left. Its a doozy.,1,"[15, 15]",False
15,dLCioI4D5BGRqkQP,{},0,"The moon laughs at night here. A real gutbuster. If the party laughs too, it will draw Moon Spiders.",1,"[16, 16]",False
16,bMpP9lyjU3xG0t3s,{},0,"Any fire that is lit in the swamp will bring an angry fat man dressed in a red bathroom and a funny looking hat. He screams at the party and hoses them down with swampwater, only to run off afterwards. If caught, he explains that its his job and to take it up with his Boss - A cranky Water Weird.",1,"[17, 17]",False
17,d0SpOx3SLNM2CXf4,{},0,"A tent and bedroll are set up on a dry hillock. Food is cooking over a fire in a pot. There is firewood for the night, and a tapped keg of stout. This is the home of a ranger who got himself eaten by an alligator, and the campsite is mourning. Bad dreams will be had here.",1,"[18, 18]",False
18,mA5RtmY6VHyagmHO,{},0,A tobacco farmer offers the party free smokes and a chance to come with him to his place to meet his daughters and have some food. He plans to murder them and use the blood on his crops.,1,"[19, 19]",False
19,1rE0CeNyLiTcOv2W,{},0,Two hags are arguing over a human infant in a cage. The infant has bright blue eyes and looks quite plump.,1,"[20, 20]",False
20,BqWGofEyADpFhsjx,{},0,A pack of skeletons have had enough. They are on strike and will gladly point out the necromancer's lair for a smoke.,1,"[21, 21]",False
21,E4deGLzdGGIFzQnd,{},0,A thousand messages-in-bottles float past the party. They all contain the same message. 'To whoever finds this note - I have been imprisoned by my father who wishes me to marry against my will. Please please please please come and rescue me. I am in the tall tower of Swamp Castle.',1,"[22, 22]",False
22,meW5q4UPEIhBfQlf,{},0,"A fisherman is cursing and kicking an old rusted car stuck in the muck. It does not even have an engine, but the fisherman swears he can get it running, if the party agrees to help. If they don't, he curses them and later the party will nearly be run over by the man hanging out the door, laughing and shaking his fist.",1,"[23, 23]",False
23,0qsTkybkc8YgTB7K,{},0,"A large church organ hangs from a tree, deflated like a balloon. It is the home of a Sussurus.",1,"[24, 24]",False
24,GI1MHndQSm7kwJJ7,{},0,Swamp Stirge boil from an old cauldron at sunset and hunt in their uncounted hundreds. Its mating season.,1,"[25, 25]",False
25,LASKBVyfP1nJ6DH1,{},0,"A Froghemoth fishes for frogs in the mist. It will flee if confronted, but will return in ambush. If it is approached with food, it could serve as an ally for a short time.",1,"[26, 26]",False
26,F6IK5hI0BVwckiJa,{},0,A baby doll calls for its mama. It can never be found.,1,"[27, 27]",False
27,9Ou35Cx6T1BtyO1O,{},0,A swarm of rusted spoons darts among the trees. It is very hungry and can smell utensils up to [[1d10*10]] feet away.,1,"[28, 28]",False
28,GOjrNWDWxSeeBYzy,{},0,A broken spelljammer ship is found.,1,"[29, 29]",False
29,bV4ki8ZaM5LbWUe8,{},0,"A house sits underwater, smoke rising from its chimney, fresh flowers in its window pots. If the door is knocked on, the house startles, and swims away. If broken into, the house will allow up to 12 people to live there indefinitely.",1,"[30, 30]",False
30,mc6HMFqlKIUjns8K,{},0,"A donkey that can never be caught, and brays with laughter as it leads the party into trap after trap.",1,"[31, 31]",False
31,Rs2TD3LS2S2iviZD,{},0,A black dragon lands and demands to be told a joke.,1,"[32, 32]",False
32,pJAcXcb6XPJczgSu,{},0,"A hangman's tree, filled with corpses, knows a secret. It will trade it for a fresh corpse added to the tree's branches.",1,"[33, 33]",False
33,DVQZuvWeFst3jLgn,{},0,A cage of bones offers protection if the party brings it the head of the local Fog Giant,1,"[34, 34]",False
34,QAwypzWGAwPZNgKQ,{},0,a woman is crying and shrieking for her child. she begs the party for help. The woman has no child.,1,"[35, 35]",False
35,icLCMI67R1Pnj50W,{},0,"A finger of quartz sticks out of the muck at an angle. Inscribed upon are runes of a dead language. If transcribed correctly, they tell a dirty joke, if not, the reader is cursed",1,"[36, 36]",False
