_id,flags,type,text,img,resultId,weight,range,drawn
0,MxdE56aOyOpNJlXO,{},0,"Tonight is the 10th annual Dragonfire Drinking contest! The person who can stomach the most Dragonfire Ale (very, VERY hot) will win the grand prize!",icons/svg/d20-black.svg,,1,"[1, 1]",False
1,NXfEhdAculTIFTlx,{},0,A group in the back corner of the tavern are arm wrestling.,icons/svg/d20-black.svg,,1,"[2, 2]",False
2,E7Q0lR0pzewUCHvJ,{},0,An elven bard is playing on stage tonight and asking for requests.,icons/svg/d20-black.svg,,1,"[3, 3]",False
3,ba0AbAj0z39RmWKQ,{},0,"A travelling gnome from a far away land has made a deal with the tavern, and is selling exotic and strange drinks in a wooden stand they have set up in the corner of the room.",icons/svg/d20-black.svg,,1,"[4, 4]",False
4,h13bsuJrwgWaJ0yh,{},0,"It is the monthly wild magic surge brew drinking contest. If you can get the most down, you win. You may lose your hair and grow an extra arm but hey, the prize is 30 gp.",icons/svg/d20-black.svg,,1,"[5, 5]",False
5,cNqTytsVQBI1Cdwg,{},0,Local criminals hangout in this tavern. They try to sell drugs. One criminal pours red dust in the drinks of the guest while they are not watching.,icons/svg/d20-black.svg,,1,"[6, 6]",False
6,sC2nd4pzumuOgQJE,{},0,The tavern is know for gambling. One guy is on a big winsteak and pays drinks for everybody. Nobody knows yet that he plays with loaded dice.,icons/svg/d20-black.svg,,1,"[7, 7]",False
7,pCoePhdmdTxp9ZbH,{},0,Some tables are flipped over. In the middle of the room is a young orc girl on the ground surrounded by a few people. Her water just broke. She is about to receive twins. Nobody knows what to do.,icons/svg/d20-black.svg,,1,"[8, 8]",False
8,yKdOvoTriLMGlTfI,{},0,The owner of the tavern is an old lady. She owns about 5d20 cats. She cant serve you drinks or food right now because she has to feed her cats first.,icons/svg/d20-black.svg,,1,"[9, 9]",False
9,HZnI54DKdO5Luflf,{},0,There is a cow in the middle of the tavern. Everybody is wasted and nobody knows how the cow got there or who owns the cow.,icons/svg/d20-black.svg,,1,"[10, 10]",False
10,x5SRLIWJJ4fnj0Ob,{},0,The ‘bartender’ is handing out free drinks and food. The owner is looked into the storage room.,icons/svg/d20-black.svg,,1,"[11, 11]",False
11,tjnW4333CQNU2Wz4,{},0,A 10-year old girl is running the tavern. Everybody is afraid of her.,icons/svg/d20-black.svg,,1,"[12, 12]",False
12,m4X9qx2ScM3iJBDA,{},0,A half-elf sitting alone seems to be muttering to themselves but is actually decribing the comings and goings of the tavern to a sentient weapon on their lap.,icons/svg/d20-black.svg,,1,"[13, 13]",False
13,7n4UxdyCyuWD33Su,{},0,"Two separate people are drinking alone. Neither seems at all suspicious on their own, but together they happen to be watching every single patron, as well as every entrance/exit.",icons/svg/d20-black.svg,,1,"[14, 14]",False
14,MsNWpW7mAfOZM78e,{},0,"A soldier is dressed in plainclothes, watching a deal going on at another table. The disguise is not fooling anyone.",icons/svg/d20-black.svg,,1,"[15, 15]",False
15,dxXtRFGlxhoqlJSV,{},0,"It’s the annual ‘Food Frenzy’. For two silver pieces (one of which goes to the house, the other to the pot), participants compete to eat the most meatballs in 10 minutes. There are six heats, and a then final. The winner of the gets the pot.",icons/svg/d20-black.svg,,1,"[16, 16]",False
16,UUp1pcuwYFXrro2Q,{},0,"It’s the annual Ferret-legging Endurance competition. In the sport of ferret-legging, competitors tie their trousers at the ankles before placing two ferrets inside and securely fastening their belts to prevent the ferrets from escaping. Each competitor then stands in front of the judges for as long as he can. Competitors cannot be drunk or drugged, nor can the ferrets be sedated. In addition, competitors are not allowed to wear underwear beneath their trousers which must allow the ferrets free access from one leg to the other and the ferrets must have a full set of teeth that must not have been filed or otherwise blunted. The winner is the person who lasts the longest.",icons/svg/d20-black.svg,,1,"[17, 17]",False
17,kJ7HLpeEDEIQytlQ,{},0,"In the annual Bonny Beard Competition, the most elaborately styled beard, as judged by the patrons, nets the winner a night of free drinks. The losers have to shave their beards off.",icons/svg/d20-black.svg,,1,"[18, 18]",False
18,DDKeKl91CGWPQzD6,{},0,The Annual Greased Piglet Game requires that a 15x15ft pen is set up in the tavern. Participants pay a small fee to compete to catch a lard greased piglet in the quickest time. The winner keeps the piglet.,icons/svg/d20-black.svg,,1,"[19, 19]",False
19,LFY6UEznQLv66aer,{},0,A crossbow bolt crashes through the window and strikes a merchant who came to the city from far away.,icons/svg/d20-black.svg,,1,"[20, 20]",False
20,3FJMlltyOffKYw3W,{},0,"You hear an explosion from across the tavern. The blast knocked out a male gnome for 1d6 minutes. Once the gnome wakes up he starts madly raving, saying things like ‘I was so close!’ and ‘that was my last chance.’ and ‘it’s too late now.’",icons/svg/d20-black.svg,,1,"[21, 21]",False
21,wsy4uLHKHhkivbDr,{},0,"A ventriloquist starts preforming. The puppet looks very old and is wearing clothes that were quite fashionable about a century ago. The performance satirizes current events and culture and has the whole tavern laughing, but if you are observant for about half an hour, whenever the ventriloquist suggests wrapping up the performance the puppet dismisses his concerns. The show goes on for three hours until the puppet is finally satisfied, at which point the ventriloquist is extremely tired and looks terrified.",icons/svg/d20-black.svg,,1,"[22, 22]",False
22,mfzmwq8cGvrrBaUa,{},0,"It’s a only milk tavern, including milk derivatives.",icons/svg/d20-black.svg,,1,"[23, 23]",False
23,0mhjTdszw0Y5skvp,{},0,"Off in the corner a group is gathering around an intense card game. At the table are a wise cracking dwarf, an elf who invented ‘poker face’, and a burly half orc about to loss all him gold.",icons/svg/d20-black.svg,,1,"[24, 24]",False
