_id,flags,type,text,img,resultId,weight,range,drawn
0,14xw7HGwXMKp0ps1,{},0,1 mind flayer arcanist,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,BAJA6WLkb3lIkevT,{},0,[[1d3+1]] giant poisonous snakes,icons/svg/d20-black.svg,,1,"[2, 2]",False
2,ryEywGmZiHOXs8jd,{},0,[[1d3]] giant lizards,icons/svg/d20-black.svg,,1,"[3, 3]",False
3,Bz2L5KGyYeaqzCtB,{},0,[[2d4]] giant fire beetles,icons/svg/d20-black.svg,,1,"[4, 4]",False
4,3mF44ZbN0suXiCYu,{},0,[[1d8+1]] flumphs,icons/svg/d20-black.svg,,1,"[5, 5]",False
5,Ztep2eAXDjtxuixC,{},0,1 shrieker,icons/svg/d20-black.svg,,1,"[6, 6]",False
6,c6hPrdN63lQM5QLj,{},0,[[1d12]] giant rats,icons/svg/d20-black.svg,,1,"[7, 7]",False
7,z6sevYUsZwktwym6,{},0,[[2d4]] kobolds,icons/svg/d20-black.svg,,1,"[8, 8]",False
8,BXE1BFKzqJTPK5pX,{},0,[[1d8+1]] stirges,icons/svg/d20-black.svg,,1,"[9, 9]",False
9,U66vzA5mUGRBwz9A,{},0,"[[2d4]] humans (tribal warriors) seeking the way to the surface, fleeing their Underdark oppressors",icons/svg/d20-black.svg,,1,"[10, 10]",False
10,rKQ2j8A7IP6xQjkq,{},0,[[1d10]] troglodytes,icons/svg/d20-black.svg,,2,"[11, 12]",False
11,kRCKBzjIhZBmgapa,{},0,[[1d2]] gray oozes,icons/svg/d20-black.svg,,2,"[13, 14]",False
12,6bzvX9Wb0m95Tp8I,{},0,[[3d6]] stirges,icons/svg/d20-black.svg,,2,"[15, 16]",False
13,xcnZeLR2V1UIUOXd,{},0,[[1d3]] magma mephits,icons/svg/d20-black.svg,,2,"[17, 18]",False
14,yrdJEcr8lt5xVra2,{},0,[[1d10]] goblins,icons/svg/d20-black.svg,,2,"[19, 20]",False
15,B4qphGLWQWr4JmTA,{},0,"Orc graffiti on the walls, suggesting something rude about the mother of someone named Krusk",icons/svg/d20-black.svg,,2,"[21, 22]",False
16,ambTiKtEmhYGP4OS,{},0,1 swarm of insects,icons/svg/d20-black.svg,,2,"[23, 24]",False
17,PRcRULbP9dN5Gku8,{},0,1 deep gnome,icons/svg/d20-black.svg,,1,"[25, 25]",False
18,Y2qg7MObYQ0guew7,{},0,[[1d8+1]] drow,icons/svg/d20-black.svg,,3,"[26, 28]",False
19,660Hn9FXnFKwVqnI,{},0,[[1d4]] violet fungi,icons/svg/d20-black.svg,,2,"[29, 30]",False
20,vmlyLzTipKIezwIv,{},0,[[1d12]] kuo-toa,icons/svg/d20-black.svg,,2,"[31, 32]",False
21,6ylUNTW0LKiAZqw7,{},0,1 rust monster,icons/svg/d20-black.svg,,1,"[33, 33]",False
22,UYbrgWrbQUGhDUpE,{},0,A rubble-strewn passage that appears to have been recently cleared after a cave-in,icons/svg/d20-black.svg,,2,"[34, 35]",False
23,AREARHXO2vdQ0Ztj,{},0,[[1d8+1]] giant bats,icons/svg/d20-black.svg,,2,"[36, 37]",False
24,sLdf7EshcbboqIoe,{},0,[[3d6]] kobolds,icons/svg/d20-black.svg,,2,"[38, 39]",False
25,aMTZlqBCjXXakg0e,{},0,[[2d4]] grimlocks,icons/svg/d20-black.svg,,2,"[40, 41]",False
