_id,flags,type,text,img,resultId,weight,range,drawn
0,OMkY0GgnacjHiaAv,{},0,[[3d6]] swarms of bats,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,pdQd51oHUl3o0pPf,{},0,[[1d4]] giant spiders or [[1d4]] giant toads,icons/svg/d20-black.svg,,1,"[2, 2]",False
2,1KjzsXjVtZ6Ndjkl,{},0,1 mimic,icons/svg/d20-black.svg,,1,"[3, 3]",False
3,z8jyd4qP1dqbXCHC,{},0,[[2d4]] grey oozes,icons/svg/d20-black.svg,,1,"[4, 4]",False
4,bHj7BBXg5z4nyTin,{},0,[[2d10]] orcs or [[3d6]] troglodytes,icons/svg/d20-black.svg,,1,"[5, 5]",False
5,YvtfQj3MWeeeYVJ4,{},0,[[3d6]] grimlocks,icons/svg/d20-black.svg,,1,"[6, 6]",False
6,z1eq9poSYnCZNNGG,{},0,[[1d6+2]] magma mephits,icons/svg/d20-black.svg,,1,"[7, 7]",False
7,lWHan9Tva4fHCaKB,{},0,1 goblin boss with [[2d4]] goblins,icons/svg/d20-black.svg,,1,"[8, 8]",False
8,v0aa3FhwTGiDoaz3,{},0,[[2d4]] darkmantles,icons/svg/d20-black.svg,,1,"[9, 9]",False
9,1WUmCylXhtONpsnP,{},0,[[2d8+1]] drow,icons/svg/d20-black.svg,,1,"[10, 10]",False
10,YQDt1wlyQpgLPhmA,{},0,[[2d10]] piercers,icons/svg/d20-black.svg,,1,"[11, 11]",False
11,n3taY6xX0ZNfNYHF,{},0,[[1d4]] minotaur skeletons,icons/svg/d20-black.svg,,1,"[12, 12]",False
12,IPKzSvX2kKj74F7j,{},0,[[3d6]] deep gnomes,icons/svg/d20-black.svg,,2,"[13, 14]",False
13,krz4pvGz3Twth6mQ,{},0,1 druid with 1 polar bear (cave bear),icons/svg/d20-black.svg,,1,"[15, 15]",False
14,9VP7K26pqWBScwYc,{},0,[[3d6]] orcs,icons/svg/d20-black.svg,,2,"[16, 17]",False
15,LwFAqEnaBnZHRFZV,{},0,1 bone naga,icons/svg/d20-black.svg,,1,"[18, 18]",False
16,mwXJASdXwSiz7Pa4,{},0,[[2d6]] bugbears,icons/svg/d20-black.svg,,2,"[19, 20]",False
17,CVakCQEFA2T5m9AP,{},0,"Luminescent fungi growing on the walls of a moist cave, filling it with dim light",icons/svg/d20-black.svg,,5,"[21, 25]",False
18,x3E34e5KdHSz8Kw8,{},0,[[2d4]] specters,icons/svg/d20-black.svg,,1,"[26, 26]",False
19,0aw34IHmyuH6sAwV,{},0,[[1d12+4]] shadows,icons/svg/d20-black.svg,,1,"[27, 27]",False
20,oa8nCaHEzYh87vOK,{},0,[[1d3]] gibbering mouthers,icons/svg/d20-black.svg,,1,"[28, 28]",False
21,43ZT4ocfh4Hfs8n7,{},0,[[4d4]] hobgoblins,icons/svg/d20-black.svg,,2,"[29, 30]",False
22,mQp1trPb6kZARWrb,{},0,[[1d4]] carrion crawlers,icons/svg/d20-black.svg,,2,"[31, 32]",False
23,nKOO7THm62xetcWr,{},0,1 black pudding,icons/svg/d20-black.svg,,2,"[33, 34]",False
24,8Dlh3WBD5ymj1wpo,{},0,[[1d4]] ochre jellies,icons/svg/d20-black.svg,,1,"[35, 35]",False
25,sTcW5SDlOn6dn0Pk,{},0,A patch of mold that appears yellow when light is directed toward it,icons/svg/d20-black.svg,,5,"[36, 40]",False
26,PEUugCXI1YQksLzT,{},0,[[1d4]] nothics,icons/svg/d20-black.svg,,1,"[41, 41]",False
27,jVedCMX22b4ORRZc,{},0,[[2d8+1]] gas spores,icons/svg/d20-black.svg,,2,"[42, 43]",False
28,I6NQaEJvTkXpZuk6,{},0,[[1d3]] gelatinous cubes,icons/svg/d20-black.svg,,2,"[44, 45]",False
29,uN6lWTGek4tZrVom,{},0,1 ghost,icons/svg/d20-black.svg,,1,"[46, 46]",False
30,Vv5j34Pyce95e36B,{},0,1 flameskull,icons/svg/d20-black.svg,,2,"[47, 48]",False
31,Jq3U00dlETv4p4r4,{},0,[[2d8]] duergar,icons/svg/d20-black.svg,,2,"[49, 50]",False
32,m78CH3XysdhrWDBG,{},0,1 wraith,icons/svg/d20-black.svg,,1,"[51, 51]",False
33,7eXsF912ybQ9fckE,{},0,1 umber hulk,icons/svg/d20-black.svg,,1,"[52, 52]",False
34,pLDs1UjpCpe0AlOJ,{},0,1 xorn,icons/svg/d20-black.svg,,1,"[53, 53]",False
35,OJoSo5ncudWI09sV,{},0,[[1d6+2]] dwarf hunters (veterans) searching for trolls,icons/svg/d20-black.svg,,1,"[54, 54]",False
36,0T3P60UTYaa0t0Wc,{},0,1 hobgoblin captain with [[3d10]] hobgoblins,icons/svg/d20-black.svg,,1,"[55, 55]",False
37,x5kohlVSXzk5OoQp,{},0,1 roper,icons/svg/d20-black.svg,,1,"[56, 56]",False
38,5IVig3yYYmda3tkr,{},0,1 kuo-toa monitor with [[1d4]] kuo-toa whips and [[1d8+1]] kuo-toa,icons/svg/d20-black.svg,,1,"[57, 57]",False
39,74uN614XgYPxM9nz,{},0,[[1d3]] water weirds,icons/svg/d20-black.svg,,1,"[58, 58]",False
40,0YhDqtvjNcNzY9bG,{},0,[[1d4]] ghasts with [[1d10]] ghouls,icons/svg/d20-black.svg,,1,"[59, 59]",False
41,dVvDccTv1RKzFOOG,{},0,1 otyugh,icons/svg/d20-black.svg,,1,"[60, 60]",False
42,rEdrG0PZEBMPf3I5,{},0,"A merchant caravan consisting of 1 drow mage, 2 drow elite warriors, and [[2d10]] quaggoths",icons/svg/d20-black.svg,,2,"[61, 62]",False
43,qWf3na27um4dRqtv,{},0,[[1d4]] wights,icons/svg/d20-black.svg,,1,"[63, 63]",False
44,TIJHuIB1g7suikqj,{},0,[[1d4]] doppelgangers,icons/svg/d20-black.svg,,1,"[64, 64]",False
45,lz38xQtzbLVVbPTx,{},0,[[2d8]] fire snakes,icons/svg/d20-black.svg,,1,"[65, 65]",False
46,PSXRRBeid7E5PSBS,{},0,[[1d4]] spectators,icons/svg/d20-black.svg,,1,"[66, 66]",False
47,nGKABk3rwxxlLHRR,{},0,1 orc Eye of Gruumsh with [[1d4]] orogs and [[2d10+3]] orcs,icons/svg/d20-black.svg,,1,"[67, 67]",False
48,0TCSLqx9VDqpoq2y,{},0,[[1d3]] vampire spawn,icons/svg/d20-black.svg,,1,"[68, 68]",False
49,IcK0gsZ6c6x2mIJR,{},0,[[1d4]] hook horrors or [[1d4]] minotaurs,icons/svg/d20-black.svg,,1,"[69, 69]",False
50,w4YCeIPenauCA7lA,{},0,[[3d6]] quaggoth spore servants,icons/svg/d20-black.svg,,1,"[70, 70]",False
51,7BZvqikRBbslcNx0,{},0,[[1d3]] grells,icons/svg/d20-black.svg,,2,"[71, 72]",False
52,L5j2jDXOIdRu4iKe,{},0,[[1d6+1]] intellect devourers,icons/svg/d20-black.svg,,1,"[73, 73]",False
53,cdim6xRiCLshprOE,{},0,[[1d10]] gargoyles,icons/svg/d20-black.svg,,1,"[74, 74]",False
54,Nm2KtJJUITXDc7sG,{},0,1 beholder zombie,icons/svg/d20-black.svg,,1,"[75, 75]",False
55,PmmtpZqnGGTww4vt,{},0,1 quaggoth thonot with [[2d4]] quaggoths,icons/svg/d20-black.svg,,2,"[76, 77]",False
56,A1xc57IDNbwMV1Iq,{},0,[[1d6]] ettins or [[1d4]] trolls,icons/svg/d20-black.svg,,1,"[78, 78]",False
57,M7tVq7bNNevCXcSH,{},0,[[1d8+1]] phase spiders,icons/svg/d20-black.svg,,1,"[79, 79]",False
58,Se45smvs9f6T1awU,{},0,1 fomorian or [[1d3]] cyclopes,icons/svg/d20-black.svg,,1,"[80, 80]",False
59,WOxlcDH4eeiee3oO,{},0,[[1d4]] earth elementals,icons/svg/d20-black.svg,,1,"[81, 81]",False
60,atD9YKjE7nlTyupa,{},0,[[3d6]] ogres,icons/svg/d20-black.svg,,1,"[82, 82]",False
61,UPeJYy5j8XBaXq0O,{},0,[[1d4+1]] chuuls,icons/svg/d20-black.svg,,1,"[83, 83]",False
62,xEzs9WPtf1dl56Pb,{},0,[[1d10]] hell hounds,icons/svg/d20-black.svg,,1,"[84, 84]",False
63,pivjDQyC6jl3mMjo,{},0,[[1d3]] drow elite warriors,icons/svg/d20-black.svg,,1,"[85, 85]",False
64,80VzyHSk333YpbOZ,{},0,[[1d4]] chimeras,icons/svg/d20-black.svg,,1,"[86, 86]",False
65,mNmjuWurG3UlMenj,{},0,[[1d4]] salamanders,icons/svg/d20-black.svg,,1,"[87, 87]",False
66,Tyg7s3RRSTNeiChK,{},0,1 cloaker,icons/svg/d20-black.svg,,1,"[88, 88]",False
67,DtAOyzovQX9vTUHl,{},0,[[2d4]] wights,icons/svg/d20-black.svg,,1,"[89, 89]",False
68,LUALwGhFIX9lFeXl,{},0,[[1d4]] driders,icons/svg/d20-black.svg,,1,"[90, 90]",False
69,iqIuzpq5wtAiO2KB,{},0,1 fire giant,icons/svg/d20-black.svg,,1,"[91, 91]",False
70,eUTLflDFDu1DYPAv,{},0,1 grick alpha with [[2d4]] gricks,icons/svg/d20-black.svg,,1,"[92, 92]",False
71,b8hTnMYg74O9RzL3,{},0,1 mind flayer arcanist,icons/svg/d20-black.svg,,1,"[93, 93]",False
72,IOKKGAT756C8XY6y,{},0,[[1d4]] drow mages,icons/svg/d20-black.svg,,1,"[94, 94]",False
73,iPsC9wMYlDTJmiTZ,{},0,1 spirit naga,icons/svg/d20-black.svg,,1,"[95, 95]",False
74,Mfa4QBImREZ3PEuE,{},0,[[1d4]] mind flayers,icons/svg/d20-black.svg,,1,"[96, 96]",False
75,X0MXCZsahlyBalkN,{},0,1 behir,icons/svg/d20-black.svg,,1,"[97, 97]",False
76,f7VR0Q8SzdjLut3A,{},0,1 aboleth,icons/svg/d20-black.svg,,1,"[98, 98]",False
77,0N4d9yB0jRYmooGe,{},0,1 dao or 1 stone giant,icons/svg/d20-black.svg,,1,"[99, 99]",False
78,1tietTWrv5nLqals,{},0,1 beholder,icons/svg/d20-black.svg,,1,"[100, 100]",False
