_id,flags,type,text,img,resultId,weight,range,drawn
0,V1NN2Dnoh0xXWX2Z,{},0,Sunken ship covered in barnacles (25 percentchance that the ship contains treasure—roll randomly on the treasure tables in chapter 7),icons/svg/d20-black.svg,,1,"[1, 1]",False
1,IXcJrRT4MfcaMDW7,{},0,Sunken ship withreef sharks(shallow waters) orhunter sharks(deep waters) circling around it (50 percentchance that the ship contains treasure—roll randomly on the treasure tables in chapter 7),icons/svg/d20-black.svg,,1,"[2, 2]",False
2,PcLUFsvlIVOA0iyS,{},0,"Bed of giant oysters (each oyster has a1 percentchance of having a giant 5,000 gp pearl inside)",icons/svg/d20-black.svg,,1,"[3, 3]",False
3,SqdRQMADajbkK4ib,{},0,Underwater steam vent (25 percentchance that the vent is a portal to the Elemental Plane of Fire),icons/svg/d20-black.svg,,1,"[4, 4]",False
4,ddg46nAjOb5ErGCk,{},0,Sunken ruin (uninhabited),icons/svg/d20-black.svg,,1,"[5, 5]",False
5,ig1SKlWRXXf8ksOt,{},0,Sunken ruin (inhabited or haunted),icons/svg/d20-black.svg,,1,"[6, 6]",False
6,PJii9KwPUEW6DYoh,{},0,Sunken statue or monolith,icons/svg/d20-black.svg,,1,"[7, 7]",False
7,URF8IH24jcN2TA7s,{},0,Friendly and curious giant sea horse,icons/svg/d20-black.svg,,1,"[8, 8]",False
8,mglCKrjTd7SX5C7j,{},0,Patrol of friendly merfolk,icons/svg/d20-black.svg,,1,"[9, 9]",False
9,QeNVm9kDTjqv3zNK,{},0,Patrol of hostile merrow(coastal waters) orsahuagin(deep waters),icons/svg/d20-black.svg,,1,"[10, 10]",False
10,T0DE5ipcg1XULlgA,{},0,Enormous kelp bed (roll again on the table to determine what's hidden in the kelp bed),icons/svg/d20-black.svg,,1,"[11, 11]",False
11,Ps5fe9ppypR7HxID,{},0,Undersea cave (empty),icons/svg/d20-black.svg,,1,"[12, 12]",True
12,RWuIbjfmpEDRuTGI,{},0,Undersea cave (sea haglair),icons/svg/d20-black.svg,,1,"[13, 13]",False
13,qN8einf2KgGCiZt3,{},0,Undersea cave (merfolklair),icons/svg/d20-black.svg,,1,"[14, 14]",False
14,7GPnCAZQuBMWoOfV,{},0,Undersea cave (giant octopus lair),icons/svg/d20-black.svg,,1,"[15, 15]",False
15,XliFjjbEgDBGCHu8,{},0,Undersea cave (dragon turtle lair),icons/svg/d20-black.svg,,1,"[16, 16]",False
16,s6LZPvE77aWDEtAD,{},0,Bronze dragon searching for treasure,icons/svg/d20-black.svg,,1,"[17, 17]",False
17,rkfsCd8n0CSsdhpc,{},0,Storm giant walking on the ocean floor,icons/svg/d20-black.svg,,1,"[18, 18]",False
18,6mLnEAfQVuHdDJqM,{},0,Sunken treasure chest (25 percentchance that it contains something of value—roll treasure randomly using the tables in chapter 7),icons/svg/d20-black.svg,,1,"[19, 19]",False
19,ZwIooxm3FTUcxvOG,{},0,Blue dragon searching for treasure,icons/svg/d20-black.svg,,1,"[20, 20]",False
