_id,flags,type,text,img,resultId,weight,range,drawn
0,qTl642sDnuak8Nt7,{},0,[[1d6]] cats,icons/svg/d20-black.svg,,1,"[1, 1]",False
1,5xyaz5RVpoOPaRJL,{},0,1 commoner with [[1d6]] goats,icons/svg/d20-black.svg,,2,"[2, 3]",False
2,71GIikUVmWyhI8Zh,{},0,[[2d10]] rats,icons/svg/d20-black.svg,,2,"[4, 5]",False
3,BBSdWmjmCYavqUlo,{},0,1 raven perched on a signpost,icons/svg/d20-black.svg,,1,"[6, 6]",False
4,SiDDMKYJVy1KoqTm,{},0,1 commoner on a draft horse,icons/svg/d20-black.svg,,1,"[7, 7]",False
5,jT1YDPAG0M5worVi,{},0,[[2d4]] mastiffs,icons/svg/d20-black.svg,,1,"[8, 8]",False
6,11ya1C0FIkKRvTfW,{},0,[[1d2]] commoners leading [[1d4]] mules or [[1d4]] ponies,icons/svg/d20-black.svg,,1,"[9, 9]",False
7,8pEqxXAMZuatKi6j,{},0,1 pseudodragon,icons/svg/d20-black.svg,,1,"[10, 10]",False
8,mvM9SCpqHX145zWQ,{},0,1 spy,icons/svg/d20-black.svg,,1,"[11, 11]",False
9,q3zDPmQrl9BU23YM,{},0,[[1d8+1]] acolytes,icons/svg/d20-black.svg,,2,"[12, 13]",False
10,1XswkyWmgOrJiJzq,{},0,[[1d6+6]] flying snakes,icons/svg/d20-black.svg,,1,"[14, 14]",False
11,XtQfVt50Nz9theEq,{},0,[[3d6]] kobolds,icons/svg/d20-black.svg,,1,"[15, 15]",False
12,W8ZUBZbU2Gv1ZqFc,{},0,[[2d4]] giant centipedes,icons/svg/d20-black.svg,,1,"[16, 16]",False
13,uuK1kPrm3tllV6Mt,{},0,[[1d8+1]] skeletons,icons/svg/d20-black.svg,,1,"[17, 17]",False
14,HaQEqCCBxLi42Ti3,{},0,[[1d6+2]] swarms of rats,icons/svg/d20-black.svg,,2,"[18, 19]",False
15,VycvdQZaEosH2ENm,{},0,[[1d12]] zombies,icons/svg/d20-black.svg,,1,"[20, 20]",False
16,jL1Zzs57HV2E3pAK,{},0,"A peddler weighed down with a load of pots, pans, and other basic supplies",icons/svg/d20-black.svg,,5,"[21, 25]",False
17,2TzM5EnynkCbtvst,{},0,1 giant wasp,icons/svg/d20-black.svg,,1,"[26, 26]",False
18,9UbRWkZTbcAYoTuE,{},0,1 warhorse,icons/svg/d20-black.svg,,2,"[27, 28]",False
19,UYbdD6datkQTSJQH,{},0,[[2d8]] cultists,icons/svg/d20-black.svg,,1,"[29, 29]",False
20,R6Kik6wMXWAh5DfP,{},0,[[3d4]] giant rats,icons/svg/d20-black.svg,,2,"[30, 31]",False
